source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4644,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050032,050032,AUTOMATIC TT PARTS,TTT050032,US,8205595560,,CONTROL TUBE PIN (REPAIR ONLY),EACH,EACH,1,0.01,2.5,0.2,0.2,,,,,,,
4645,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050046,050046,AUTOMATIC TT PARTS,TTT050046,US,8205595560,,RELEASE TUBE SPRING,EACH,EACH,1,0.005,1.8,0.25,0.25,,,,,,,
4646,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050047,050047,AUTOMATIC TT PARTS,TTT050047,,,,LEVELWIND SPRING,EACH,EACH,1,0.001,,,,,,,,,,
4647,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050049,050049,AUTOMATIC TT PARTS,TTT050049,US,8205595560,,SUPPORT RIGHT CHAIN ROLLER TAPETECH,EACH,EACH,1,0.0295,3.15,0.25,0.25,,,,,,,
4648,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050051,050051,AUTOMATIC TT PARTS,TTT050051,US,8205595560,,STABILIZER BAR,EACH,EACH,1,0.09,9.45,0.12,0.12,,,,,,,
4649,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050053F,050053F,AUTOMATIC TT PARTS,TTT050053F,US,8205595560,,GOOSER RELEASE CAM FOR 07TT TAPETECH,EACH,EACH,1,0.015,1.5,0.75,0.25,,,,,,,
4650,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050060F,050060F,AUTOMATIC TT PARTS,TTT050060F,,,,CONTROL TUBE,EACH,EACH,1,0.4545,,,,,,,,,,
4651,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050061F,050061F,AUTOMATIC TT PARTS,TTT050061F,US,8205595560,,CREASER CONTROL ROD,EACH,EACH,1,0.1735,40.5,0.25,0.25,,,,,,,
4652,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050066F,050066F,AUTOMATIC TT PARTS,TTT050066F,US,8205595560,,CONTROL TUBE KIT,EACH,EACH,1,0.52,47,1,1,,,,,,,
4653,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050073,050073,AUTOMATIC TT PARTS,TTT050073,US,8205595560,,BUSHING ROLLER,EACH,EACH,1,0.002,0.25,0.25,0.25,,,,,,,
4654,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050074,050074,AUTOMATIC TT PARTS,TTT050074,US,8205595560,,BRAKE DOG,EACH,EACH,1,0.002,0.5,0.25,0.25,,,,,,,
4655,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050075,050075,AUTOMATIC TT PARTS,TTT050075,US,8205595560,,BRAKE DOG PIN,EACH,EACH,1,0.002,0.75,0.25,0.25,,,,,,,
4656,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050076,050076,AUTOMATIC TT PARTS,TTT050076,US,8205595560,,BRAKE DOG SPRING,EACH,EACH,1,0.01,2.1,0.25,0.25,,,,,,,
4657,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050078,050078,AUTOMATIC TT PARTS,TTT050078,US,8205595560,,INDEXING DOG SPRING,EACH,EACH,1,0.009,0.5,0.5,0.5,,,,,,,
4658,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050079,050079,AUTOMATIC TT PARTS,TTT050079,US,8205595560,,CREASER CRANK TAPETECH,EACH,EACH,1,0.033,2.95,0.25,0.25,,,,,,,
4659,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050084,050084,AUTOMATIC TT PARTS,TTT050084,US,8205595560,,CREASER PLUNGER,EACH,EACH,1,0.0125,0.75,0.5,0.5,,,,,,,
4660,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050088,050088,AUTOMATIC TT PARTS,TTT050088,,,,TAPE RETAINER LOCK,EACH,EACH,1,0.001,,,,,,,,,,
4661,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050089,050089,AUTOMATIC TT PARTS,TTT050089,US,8205595560,,CREASER PLUNGER RELEASE CAM,EACH,EACH,1,0.004,0.5,0.5,0.5,,,,,,,
4662,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050091F,050091F,AUTOMATIC TT PARTS,TTT050091F,,,,GUIDE PLATE,EACH,EACH,1,0.012,,,,,,,,,,
4663,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050094,050094,AUTOMATIC TT PARTS,TTT050094,US,8205595560,,TRIGGER,EACH,EACH,1,0.09,7.9,1.25,0.75,,,,,,,
4664,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050095,050095,AUTOMATIC TT PARTS,TTT050095,US,8205595560,,LOCKING PIN,EACH,EACH,1,0.001,0.25,0.25,0.25,,,,,,,
4665,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050101,050101,AUTOMATIC TT PARTS,TTT050101,US,8205595560,,BEARING MOUNT,EACH,EACH,1,0.006,1,1,0.5,,,,,,,
