"brand","sku","product_name","supplier_cost","product_description_html"
"Columbia Tools","3BH","Columbia 36"" 180-Grip Flat Box Handle",127.21,"<p>The New 36"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns.</p> <p>These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish.</p> <p>Features:</p> <ul> <li>Feather Weight - Lightest Box Handles Around</li> <li>Clamp style 180 brake is simple and more durable than pinch brakes</li> <li>Strong billet aluminum design with black anodizing, and laser engraving</li> <li>Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point</li> <li>Additional braking, control, and range of motion versus competitor handles</li> <li>Compatible with all leading brand boxes (Excluding TapeWorm).</li> <li>36"" Feather Weight 180-Grip is ideal for wall work, tight areas, butt joints, and low ceilings</li> </ul>"
"Columbia Tools","3CSF","Columbia 3"" Combo Flusher",120.69,"<p>Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>4 designs: 2.5″, 3″, 3.5″ &amp; wide track</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","3DF","Columbia 3"" Direct Corner Flusher",78.82,"<p>Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","3NS","Columbia 3″ Nailspotter",198.35,"<p>The Columbia 3″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market.</p> <p>Features:</p> <ul> <li>Available in 2″ and 3″ sizes</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","3SF","Columbia 3"" Standard Corner Flusher",73.91,"<p>Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","3WTDF","Columbia 3"" Widetrack Direct Corner Flusher",81.28,"<p>Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> </ul>"
"Columbia Tools","3WTSF","Columbia 3"" Standard Corner Flusher",75.12,"<p>Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","42BBH","Columbia 42"" 180-Grip Bent Flat Box Handle",154.7,"<p>Columbia 42"" 180-Grip Bent Box Handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminates the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. The bent handle design adds necessary leverage in all situations, and truly excels on butt-joints and headers.&nbsp;</p> <p>Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. Everything you want in a box handle. Bent handle ergonomics combined with a standard 3/4"" tube - helps you achieve the perfect balance, and perfect finish with less effort.</p> <p>Features:</p> <ul> <li>Bent ergonomic design increases leverage and requires less effort to push</li> <li>Clamp style 180 brake is simple and more durable than pinch brakes</li> <li>Strong billet aluminum design with black anodizing, and laser engraving</li> <li>Additional braking, control, and range of motion versus competitor handles</li> <li>Compatible with all leading brand boxes (Excluding TapeWorm).</li> <li>42"" 180-Grip Bent Box Handle is ideal for wall work, tight areas, butt joints, and low ceilings</li> </ul>"
"Columbia Tools","42BH","Columbia 42"" 180-Grip Flat Box Handle",128.92,"<p>The New 42"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns.</p> <p>These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish.</p> <p>Features:</p> <ul> <li>Feather Weight - Lightest Box Handles Around</li> <li>Clamp style 180 brake is simple and more durable than pinch brakes</li> <li>Strong billet aluminum design with black anodizing, and laser engraving</li> <li>Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point</li> <li>Additional braking, control, and range of motion versus competitor handles</li> <li>Compatible with all leading brand boxes (Excluding TapeWorm).</li> <li>42"" Feather Weight 180-Grip is ideal for all-around wall work, butt joints, and low ceilings</li> </ul>"
"Columbia Tools","4BBH","Columbia 48"" 180-Grip Bent Flat Box Handle",156.41,"<p>Columbia 48"" 180-Grip Bent Box Handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminates the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. The bent handle design adds necessary leverage in all situations, and truly excels on butt-joints and headers.&nbsp;</p> <p>Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. Everything you want in a box handle. Bent handle ergonomics combined with a standard 3/4"" tube - helps you achieve the perfect balance, and perfect finish with less effort.</p> <p>Features:</p> <ul> <li>Bent ergonomic design increases leverage and requires less effort to push</li> <li>Clamp style 180 brake is simple and more durable than pinch brakes</li> <li>Strong billet aluminum design with black anodizing, and laser engraving</li> <li>Additional braking, control, and range of motion versus competitor handles</li> <li>Compatible with all leading brand boxes (Excluding TapeWorm).</li> <li>48"" 180-Grip Bent Box Handle is ideal for wall work, butt joints, and ceilings</li> </ul>"
