sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
AH7-2,"Frame Tension Spring - 2""",Columbia Tools,12.50,,1,1,1.90,1.90,1.90,1.90,0.00,10.60,557.89,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH7-2-Columbia-Angle-Head-Frame-Tension-Spring-2in-5808
AH7-2.5,"Frame Tension Spring - 2.5""",Columbia Tools,2.00,,1,1,1.90,1.90,1.90,1.90,0.00,0.10,5.26,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH7-2-5-Columbia-Angle-Head-Frame-Tension-Spring-2-5in-Also-Small-3in-Spring-5809
AH7-3,"Frame Tension Spring - 3""",Columbia Tools,13.25,,1,1,1.90,1.90,1.90,1.90,0.00,11.35,597.37,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH7-3-Columbia-Angle-Head-Tension-Spring-3in-Large-5810
AH7-3.5,"Frame Tension Spring - 3.5""",Columbia Tools,14.50,,1,1,1.90,1.90,1.90,1.90,0.00,12.60,663.16,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH7-3-5-Columbia-Angle-Head-Frame-Tension-Spring-3-5in-5811
AH8,Top Retainer Corner Clip - Standard,Columbia Tools,8.00,,1,1,6.78,6.78,6.78,6.78,0.00,1.22,17.99,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH8-Columbia-Angle-Head-Retainer-Clip-Short-5812
AH8A,"Top Retainer Corner Clip - 3.5""",Columbia Tools,9.75,,0,0,,,,,,,,no_market_data,no_map,,
AH9,Bottom Retainer Corner Clip - Standard,Columbia Tools,10.00,,1,1,12.25,12.25,12.25,12.25,0.00,-2.25,-18.37,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH9-Columbia-Angle-Head-Retainer-Clip-Long-5814
AH9A,"Bottom Retainer Corner Clip - 3.5""",Columbia Tools,11.50,,0,0,,,,,,,,no_market_data,no_map,,
AHA,Angle Head Adapter,Columbia Tools,24.87,24.87,2,2,24.87,24.88,24.88,24.88,0.04,-0.00,-0.02,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-angle-head-ball-adapter/
BF,Columbia Box Filler - Standard,Columbia Tools,75.71,75.71,1,1,75.71,75.71,75.71,75.71,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-box-filler/
BH1,Mounting Plate,Columbia Tools,30.00,,0,0,,,,,,,,no_market_data,no_map,,
BH11,Strap Connecting Pin,Columbia Tools,7.95,,0,0,,,,,,,,no_market_data,no_map,,
BH2,Plate,Columbia Tools,24.50,,1,1,45.84,45.84,45.84,45.84,0.00,-21.34,-46.55,single_source_only,no_map,All-Wall,https://www.all-wall.com/BH2-Columbia-Box-Handle-180-Grip-Plate-COL-handles-12459
BH24A,Bearing Sleeve,Columbia Tools,4.00,,0,0,,,,,,,,no_market_data,no_map,,
BH26,Cam,Columbia Tools,21.95,,1,1,12.38,12.38,12.38,12.38,0.00,9.57,77.30,single_source_only,no_map,All-Wall,https://www.all-wall.com/BH26-Columbia-Box-Handle-Cam-for-180-Handle-11575
BH3,Lower Mounting Bracket,Columbia Tools,32.00,,1,1,35.90,35.90,35.90,35.90,0.00,-3.90,-10.86,single_source_only,no_map,All-Wall,https://www.all-wall.com/Lower-Mounting-Bracket
BH4,Lower Brake Lever,Columbia Tools,19.75,,0,0,,,,,,,,no_market_data,no_map,,
BH5,Upper Mounting Bracket,Columbia Tools,18.50,,1,1,10.54,10.54,10.54,10.54,0.00,7.96,75.52,single_source_only,no_map,All-Wall,https://www.all-wall.com/BH5-Columbia-Box-Handle-Upper-Mounting-Bracket-180-Grip-12460
BH6,Hinge Pin,Columbia Tools,11.25,,0,0,,,,,,,,no_market_data,no_map,,
BH7,Cam Follower,Columbia Tools,15.00,,0,0,,,,,,,,no_market_data,no_map,,
BH9-3,Brake Connecting Strap - 3',Columbia Tools,27.00,,0,0,,,,,,,,no_market_data,no_map,,
BH9-4,Brake Connecting Strap - 4',Columbia Tools,31.00,,0,0,,,,,,,,no_market_data,no_map,,
BH9-42,"Brake Connecting Strap - 42""",Columbia Tools,29.00,,0,0,,,,,,,,no_market_data,no_map,,
BH9-5,Brake Connecting Strap - 5',Columbia Tools,33.00,,0,0,,,,,,,,no_market_data,no_map,,
BH9-6,Brake Connecting Strap - 6',Columbia Tools,35.00,,0,0,,,,,,,,no_market_data,no_map,,
C1H,Columbia One Handle - Fixed,Columbia Tools,64.89,64.89,1,1,64.89,64.89,64.89,64.89,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-one-handle/
C1HEXT,Columbia One Handle - Extendable 3'-5',Columbia Tools,135.19,135.19,1,1,135.19,135.19,135.19,135.19,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-one-extendable-handle-3-5/
C1HS,Columbia One Handle - Stubby,Columbia Tools,49.44,49.44,1,1,49.44,49.44,49.44,49.44,0.00,0.00,0.00,single_source_only,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-One-Handle-Stubby-C1HS
CBNCR,Columbia Outside Corner Roller - Bullnose,Columbia Tools,86.52,86.52,2,2,86.52,87.00,86.76,86.76,0.55,-0.24,-0.28,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-outside-bullnose-corner-roller/
