sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
CR1,Head Casting,Columbia Tools,39.00,,1,1,58.50,58.50,58.50,58.50,0.00,-19.50,-33.33,single_source_only,no_map,All-Wall,https://www.all-wall.com/CR1-Columbia-Corner-Roller-Head-Casting-5561
CR11,Handle Connecting Link,Columbia Tools,18.95,,1,1,30.10,30.10,30.10,30.10,0.00,-11.15,-37.04,single_source_only,no_map,All-Wall,https://www.all-wall.com/CR11-Columbia-Corner-Roller-Handle-Connecting-Link-5567
CR12,Swivel Coupling Pin,Columbia Tools,12.50,,1,1,5.38,5.38,5.38,5.38,0.00,7.12,132.34,single_source_only,no_map,All-Wall,https://www.all-wall.com/CR12-Columbia-Corner-Roller-Swivel-Coupling-Pin-5568
CR2,Roller,Columbia Tools,12.00,,1,1,20.64,20.64,20.64,20.64,0.00,-8.64,-41.86,single_source_only,no_map,All-Wall,https://www.all-wall.com/Columbia-RollerWheel-CR2
CR4,Cut Washer,Columbia Tools,3.00,,1,1,5.40,5.40,5.40,5.40,0.00,-2.40,-44.44,single_source_only,no_map,All-Wall,https://www.all-wall.com/CR4-Columbia-Corner-Roller-Washer-5564
CR6,Handle Mounting Swivel,Columbia Tools,24.95,,1,1,17.68,17.68,17.68,17.68,0.00,7.27,41.12,single_source_only,no_map,All-Wall,https://www.all-wall.com/CR6-Columbia-Corner-Roller-Handle-Mounting-Swivel-5565
CT101,Return Spring,Columbia Tools,9.25,,0,0,,,,,,,,no_market_data,no_map,,
CT103,Barrel- Main Body,Columbia Tools,112.50,,0,0,,,,,,,,no_market_data,no_map,,
CT104,Connection Strap,Columbia Tools,18.95,,0,0,,,,,,,,no_market_data,no_map,,
CT105,Crimper Lever,Columbia Tools,34.50,,0,0,,,,,,,,no_market_data,no_map,,
CT107,Piston Body,Columbia Tools,27.00,,0,0,,,,,,,,no_market_data,no_map,,
CT109,1/4 - 20 Hex Nut,Columbia Tools,6.00,,0,0,,,,,,,,no_market_data,no_map,,
CT10A,Crimping Arm Shaft Bushing - L,Columbia Tools,13.95,,0,0,,,,,,,,no_market_data,no_map,,
CT111,Piston Cup,Columbia Tools,11.75,,0,0,,,,,,,,no_market_data,no_map,,
CT112,Connecting Stud,Columbia Tools,11.00,,0,0,,,,,,,,no_market_data,no_map,,
CT115,Guard Ring,Columbia Tools,20.00,,0,0,,,,,,,,no_market_data,no_map,,
CT116A,Strap,Columbia Tools,28.50,,0,0,,,,,,,,no_market_data,no_map,,
CT119,Spool Retaining Spring,Columbia Tools,7.25,,0,0,,,,,,,,no_market_data,no_map,,
CT120,Tape Spool,Columbia Tools,14.50,,0,0,,,,,,,,no_market_data,no_map,,
CT121A,O-Ring,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
CT124,Hand Grip Guard Ring,Columbia Tools,20.00,,0,0,,,,,,,,no_market_data,no_map,,
CT125,Rollers,Columbia Tools,15.25,,0,0,,,,,,,,no_market_data,no_map,,
CT125A,Bearing,Columbia Tools,19.95,,0,0,,,,,,,,no_market_data,no_map,,
CT126,Hand Grip Body,Columbia Tools,66.00,,0,0,,,,,,,,no_market_data,no_map,,
CT127,Extension Shaft Bracket,Columbia Tools,21.95,,0,0,,,,,,,,no_market_data,no_map,,
CT13,Dog Base Bracket,Columbia Tools,16.00,,0,0,,,,,,,,no_market_data,no_map,,
CT130,Extension Shaft,Columbia Tools,32.50,,0,0,,,,,,,,no_market_data,no_map,,
CT132,Connecting Link,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
CT14A,Taper Adjustable Brake,Columbia Tools,22.50,,0,0,,,,,,,,no_market_data,no_map,,
CT15,Ratchet Rod for Adjustable Brake,Columbia Tools,6.00,,0,0,,,,,,,,no_market_data,no_map,,
CT16,Brake Dog,Columbia Tools,15.00,,0,0,,,,,,,,no_market_data,no_map,,
CT19,Paper Feed Guide,Columbia Tools,24.95,,0,0,,,,,,,,no_market_data,no_map,,
CT2,Insert Bushing for CT#7A,Columbia Tools,5.00,,0,0,,,,,,,,no_market_data,no_map,,
CT20,Hinge Block,Columbia Tools,24.95,,0,0,,,,,,,,no_market_data,no_map,,
CT28,Roller Bushing,Columbia Tools,10.75,,0,0,,,,,,,,no_market_data,no_map,,
CT29,Nylatron Chain Roller - Right (Small),Columbia Tools,13.50,,0,0,,,,,,,,no_market_data,no_map,,
CT29A,Nylatron Chain Roller - Left (Large),Columbia Tools,4.00,,0,0,,,,,,,,no_market_data,no_map,,
CT3,Insert Bushing - Right,Columbia Tools,12.00,,0,0,,,,,,,,no_market_data,no_map,,
CT31,Chain Tension & Guide Bracket,Columbia Tools,6.00,,0,0,,,,,,,,no_market_data,no_map,,
CT35,Cap Reinforcing Tab,Columbia Tools,4.00,,0,0,,,,,,,,no_market_data,no_map,,
CT36,Return Spring Tube,Columbia Tools,33.00,,0,0,,,,,,,,no_market_data,no_map,,
CT3A,Insert Bushing - Left,Columbia Tools,14.50,,0,0,,,,,,,,no_market_data,no_map,,
CT4,Wafer Bushing - Left,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
CT40,Return Spring Ring,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
CT42A,Diamond Blade,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
CT43,Micro Chain,Columbia Tools,24.50,,0,0,,,,,,,,no_market_data,no_map,,
CT45,Connecting Rod,Columbia Tools,22.95,,0,0,,,,,,,,no_market_data,no_map,,
CT47,Crimping Wheel,Columbia Tools,18.95,,0,0,,,,,,,,no_market_data,no_map,,
CT5,Wafer Bushing - Right,Columbia Tools,11.50,,0,0,,,,,,,,no_market_data,no_map,,
CT50,Crimping Wheel Bushing,Columbia Tools,6.00,,0,0,,,,,,,,no_market_data,no_map,,
CT53,Toe Kicker,Columbia Tools,28.50,,0,0,,,,,,,,no_market_data,no_map,,
CT54,Return Spring,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
CT55,Carriage Guide Rod,Columbia Tools,12.00,,0,0,,,,,,,,no_market_data,no_map,,
CT56,Carriage Guide Rod Stop,Columbia Tools,7.00,,0,0,,,,,,,,no_market_data,no_map,,
CT57,Tape Advance Carriage,Columbia Tools,82.00,,0,0,,,,,,,,no_market_data,no_map,,
CT58,Guide Rod Bushing,Columbia Tools,8.00,,0,0,,,,,,,,no_market_data,no_map,,
CT62,Needle Holding Shaft,Columbia Tools,16.00,,0,0,,,,,,,,no_market_data,no_map,,
CT63,Needle,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
CT64,Needle Return Shaft,Columbia Tools,6.00,,0,0,,,,,,,,no_market_data,no_map,,
CT65,Needle Return Spring,Columbia Tools,4.00,,0,0,,,,,,,,no_market_data,no_map,,
CT67,Ratchet Gear,Columbia Tools,34.50,,0,0,,,,,,,,no_market_data,no_map,,
CT68,Hub,Columbia Tools,15.00,,0,0,,,,,,,,no_market_data,no_map,,
CT6A,Stainless Steel Side Plate - Left,Columbia Tools,42.95,,0,0,,,,,,,,no_market_data,no_map,,
CT70,Drive Shaft,Columbia Tools,33.00,,0,0,,,,,,,,no_market_data,no_map,,
CT71,Drive Sprocket - Small,Columbia Tools,15.00,,0,0,,,,,,,,no_market_data,no_map,,
CT72,Cable,Columbia Tools,10.00,,0,0,,,,,,,,no_market_data,no_map,,
CT73,Cable Drum,Columbia Tools,28.95,,0,0,,,,,,,,no_market_data,no_map,,
CT76,Nylatron Washer,Columbia Tools,6.25,,0,0,,,,,,,,no_market_data,no_map,,
CT77,Drive Sprocket - Large,Columbia Tools,26.50,,0,0,,,,,,,,no_market_data,no_map,,
CT78,Drive Chain,Columbia Tools,66.00,,0,0,,,,,,,,no_market_data,no_map,,
CT79,Hollow Shaft,Columbia Tools,38.50,,0,0,,,,,,,,no_market_data,no_map,,
CT7A,Side Plate Hub,Columbia Tools,24.50,,0,0,,,,,,,,no_market_data,no_map,,
CT80,Manual Drive Grip,Columbia Tools,18.75,,0,0,,,,,,,,no_market_data,no_map,,
CT81,Clutch Return Spring,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
CT82,Clutch Lever,Columbia Tools,19.75,,0,0,,,,,,,,no_market_data,no_map,,
CT83,Clutch Dog,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
CT85,Clutch Release Shaft,Columbia Tools,40.00,,0,0,,,,,,,,no_market_data,no_map,,
CT86,CT86 – Toe Kicker Cable,Columbia Tools,14.95,,0,0,,,,,,,,no_market_data,no_map,,
CT87,Engraved Cover Plate Cap,Columbia Tools,42.00,,0,0,,,,,,,,no_market_data,no_map,,
CT87-CS,Rubber Seal,Columbia Tools,9.75,,0,0,,,,,,,,no_market_data,no_map,,
CT87A,Bracket Brace,Columbia Tools,14.50,,0,0,,,,,,,,no_market_data,no_map,,
CT88,Clutch Release Rod,Columbia Tools,16.50,,0,0,,,,,,,,no_market_data,no_map,,
CT89,Release Rod Sleeve,Columbia Tools,12.95,,0,0,,,,,,,,no_market_data,no_map,,
CT90,Rod Sleeve Housing,Columbia Tools,22.50,,0,0,,,,,,,,no_market_data,no_map,,
CT92,Release Clip Bushing,Columbia Tools,10.00,,0,0,,,,,,,,no_market_data,no_map,,
CT92A,Toe Kicker Caple Retainer Clip,Columbia Tools,7.95,,0,0,,,,,,,,no_market_data,no_map,,
CT96,Mud Shut-Off Gasket,Columbia Tools,4.00,,0,0,,,,,,,,no_market_data,no_map,,
CT97,Mud Supply Valve Body,Columbia Tools,34.50,,0,0,,,,,,,,no_market_data,no_map,,
CT98,Mud Supply Seal Plate & Shaft,Columbia Tools,24.95,,0,0,,,,,,,,no_market_data,no_map,,
FA199,"2-56 x 3/16"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA2,"4-40 x 1/8"" Binder Slot",Columbia Tools,1.65,,0,0,,,,,,,,no_market_data,no_map,,
FA200,"1/16 x 1/4"" Split Pin",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA202,"1/16 X 1/2"" Cotter Pin",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA203,"1/16 x 3/4"" Cotter Pin",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA206,4-40 Hex Nut,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA207,4-40 Nyloc Nut,Columbia Tools,2.50,,0,0,,,,,,,,no_market_data,no_map,,
FA210,"4-40 x 3/16"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA212,"4-40 x 3/16"" Truss Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA213,"4-40 x 1/4"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA214,"4-40 x 1/4"" Flat Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA215,"4-40 x 5/16"" Binder Slot",Columbia Tools,1.95,,0,0,,,,,,,,no_market_data,no_map,,
FA216,4-40 X 3/8” Fillister Slot,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA218,"4-40 x 3/8"" Flat Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA219,"4-40 x 1/2"" Fillister Slot",Columbia Tools,1.00,,1,1,1.05,1.05,1.05,1.05,0.00,-0.05,-4.76,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA219-Columbia-4-40-X-1-2in-Fill-Head-Screw-6005
FA220,"4-40 x 3/4"" Hex Bolt",Columbia Tools,2.35,,1,1,1.10,1.10,1.10,1.10,0.00,1.25,113.64,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA220-Columbia-4-40-X-3-4in-Bind-Head-Screw-6006
FA224,"1/8"" x 3/8"" Split Pin",Columbia Tools,1.95,,1,1,1.15,1.15,1.15,1.15,0.00,0.80,69.57,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA224-Columbia-1-8in-X-3-8in-Split-Pin-6009
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",Columbia Tools,2.05,,1,1,2.10,2.10,2.10,2.10,0.00,-0.05,-2.38,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA225-Columbia-1-8in-X-3-8in-Special-Washer-6010
FA227,"6-32 X 1/4"" Flat Slot",Columbia Tools,2.00,,1,1,2.15,2.15,2.15,2.15,0.00,-0.15,-6.98,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA221-Columbia-6-Belleville-Washer-6007
FA228,#6 Flat Washer,Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA229,#6 Lock Washer,Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA230,#6 Star Washer,Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA231,"6-32 x 3/8"" Hex Bolt",Columbia Tools,2.25,,0,0,,,,,,,,no_market_data,no_map,,
FA232,6-32 Hex Nut,Columbia Tools,1.75,,1,1,2.10,2.10,2.10,2.10,0.00,-0.35,-16.67,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA232-Columbia-6-32-Hex-Nut-6012
FA233,6-32 Nyloc Nut,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA234,6-32 Nyloc Jam Nut,Columbia Tools,2.65,,1,1,1.85,1.85,1.85,1.85,0.00,0.80,43.24,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA234-Columbia-6-32-Nyloc-Jam-Nut-6014
FA235,"6-32 X 1/8"" Set Screw",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA236,"6-32 X 1/8"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA237,"6-32 x 3/16"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA238,"6-32 X 3/16"" Fillister Slot",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA239,"6-32 X 1/4"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA241,"6-32 X 3/8"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA243,"6-32 x 3/8"" Flat Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA244,"6-32 x 1/2"" Pan Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA245,"6-32 x 1/2"" Fillister Slot",Columbia Tools,2.15,,1,1,1.05,1.05,1.05,1.05,0.00,1.10,104.76,single_source_only,no_map,All-Wall,https://www.all-wall.com/632-12-Fillister-slot
FA247,"6-32 X 5/8"" Hex Bolt",Columbia Tools,2.45,,1,1,1.95,1.95,1.95,1.95,0.00,0.50,25.64,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA247-Columbia-6-32-X-5-8in-Hex-Bolt-6018
FA249,"8-32X3/16"" Set Screw",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA252,#8 Star Washer,Columbia Tools,2.05,,1,1,1.15,1.15,1.15,1.15,0.00,0.90,78.26,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA252-Columbia-8-Star-Washer-10453
FA253,#8 Flat Washer,Columbia Tools,1.85,,1,1,1.05,1.05,1.05,1.05,0.00,0.80,76.19,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA253-Columbia-8-Flat-Washer-6019
FA254,8-32 Nyloc Nut,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA256,"8-32 X 3/16"" Pan Slot",Columbia Tools,2.15,,0,0,,,,,,,,no_market_data,no_map,,
FA257,"8-32 x 1/4"" Fillister Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA258,8-32X 1/4 Half Dog Set,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA259,"FA259 8-32 X 5/16"" Binder Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA260,"8-32 x 3/8"" Pan Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA261,"8-32 X 3/8"" Socket Screw",Columbia Tools,2.75,,0,0,,,,,,,,no_market_data,no_map,,
FA262,"8-32 x 1/2"" Socket",Columbia Tools,2.95,,0,0,,,,,,,,no_market_data,no_map,,
FA264,"8-32 x 5/8"" Truss Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA265,"8-32 x 3/4"" Truss Slot",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA267,"8-32 x 1 1/2"" Pan Slot",Columbia Tools,2.85,,1,1,1.05,1.05,1.05,1.05,0.00,1.80,171.43,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA267-Columbia-8-32-X-1-5in-Pan-Head-Screw-6027
FA268,#10 Flat Washer,Columbia Tools,2.25,,0,0,,,,,,,,no_market_data,no_map,,
FA270,"#10 x 3/4"" Fender Washer",Columbia Tools,2.50,,1,1,2.10,2.10,2.10,2.10,0.00,0.40,19.05,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA270-Columbia-10-X-3-4in-Fender-Washer-6029
FA271,10-24 Nyloc Nut,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA272,10-24 Wing Nut,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA273,"10-24 x 1"" Hex Bolt",Columbia Tools,3.25,,0,0,,,,,,,,no_market_data,no_map,,
FA274,"10-24 x 3/8"" Socket",Columbia Tools,2.65,,1,1,2.75,2.75,2.75,2.75,0.00,-0.10,-3.64,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA274-Columbia-10-24-X-3-8in-Socket-Hd-Screw-6031
FA275,"10-24 x 7/8"" Hex Bolt",Columbia Tools,3.15,,1,1,2.15,2.15,2.15,2.15,0.00,1.00,46.51,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA275-Columbia-10-24-X-3-4in-Hex-Bolt-6032
FA276,"10-24 x 7/8"" Pan Slot",Columbia Tools,3.35,,1,1,1.05,1.05,1.05,1.05,0.00,2.30,219.05,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA276-Columbia-10-24-X-7-8-Pan-Head-Screw-6033
FA280,#10 Belleville Washer,Columbia Tools,1.00,,1,1,1.05,1.05,1.05,1.05,0.00,-0.05,-4.76,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA280-Columbia-10-Belleville-Washer-6037
FA286,"1/4"" x 1/2"" Flat Washer",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FA288,"1/4"" X 3/4"" Split Pin",Columbia Tools,2.25,,1,1,2.36,2.36,2.36,2.36,0.00,-0.11,-4.66,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA288-Columbia-1-4in-X-1-2in-Split-Pin-6040
FA291,1/4-20 Hex Nut,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA292,FA292 1/4-20 Nyloc Jam Nut,Columbia Tools,3.15,,1,1,1.93,1.93,1.93,1.93,0.00,1.22,63.21,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA292-Columbia-1-4-20-Nyloc-Jam-Nut-6043
FA294,"1/4-20 x 38"" Socket",Columbia Tools,3.25,,1,1,2.75,2.75,2.75,2.75,0.00,0.50,18.18,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA294-Columbia-1-4-20-X-3-8-Socket-Hd-Screw-6044
FA295,"1/4 x 1/2"" Flathead Socket",Columbia Tools,3.45,,1,1,1.05,1.05,1.05,1.05,0.00,2.40,228.57,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA295-Columbia-1-4-20-X-1-2in-Flat-Socket-6045
FA296,"1/4 -20 x 1/2"" Hex Bolt",Columbia Tools,3.35,,1,1,1.00,1.00,1.00,1.00,0.00,2.35,235.00,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA296-Columbia-1-4-20-X-1-2in-Hex-Bolt-6046
FA297,"1/4-20 x 5/8"" Socket",Columbia Tools,2.00,,1,1,2.75,2.75,2.75,2.75,0.00,-0.75,-27.27,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA297-Columbia-1-4-20-X-5-8in-Socket-Hd-Scre-6047
FA298,"1/4-20 x 7/8"" Flat Socket",Columbia Tools,2.85,,1,1,1.05,1.05,1.05,1.05,0.00,1.80,171.43,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA298-Columbia-1-4-20-X-7-8in-Flat-Socket-6048
FA299,"1/4-20 x 1 1/2"" Pan Phillips",Columbia Tools,4.00,,0,0,,,,,,,,no_market_data,no_map,,
FA3,"1/2"" x 7/8"" Flat Washer",Columbia Tools,2.50,,1,1,2.10,2.10,2.10,2.10,0.00,0.40,19.05,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA308-Columbia-33-64-X-7-8in-Flat-Washer-6055
FA300,"1/4-20 x 2"" Hex Bolt",Columbia Tools,4.25,,1,1,3.83,3.83,3.83,3.83,0.00,0.42,10.97,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA300-Columbia-1-4-20-X-2in-Hex-Bolt-6050
FA301,"1/4-20 x 2 1/4"" Hex Bolt",Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
FA302,"1/4-28 x 1/4"" Set Screw",Columbia Tools,3.85,,1,1,2.15,2.15,2.15,2.15,0.00,1.70,79.07,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA302-Columbia-1-4-28-X-1-4in-Set-Screw-6051
FA303,5-16 Flat Washer,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
FA305,"5/16 -18 x 3/4"" Hex Bolt",Columbia Tools,4.15,,1,1,3.65,3.65,3.65,3.65,0.00,0.50,13.70,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA305-Columbia-5-16-18-X-3-4in-Hex-Bolt-6053
FA306,"5/16-18 x 1 1/4"" Hex Bolt",Columbia Tools,3.45,,1,1,3.48,3.48,3.48,3.48,0.00,-0.03,-0.86,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA306-Columbia-5-16-18-X-1-1-4in-Hex-Bolt-6054
FA307,5-16 x 24 Jam Nut,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
FA311,"FA311 1/4-28 X 1/2"" Socket Head",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA312,"10-24 X 1/4"" Socket Hand Set",Columbia Tools,2.85,,1,1,2.15,2.15,2.15,2.15,0.00,0.70,32.56,single_source_only,no_map,All-Wall,https://www.all-wall.com/FA312-Columbia-10-24-X-1-4in-Set-Screw-6796
FA313,1/4-20 X 1/4 Socket Head Set Screw,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA316,"10-32 X 1/2"" Flat Socket Head",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA317,"5/32"" x 7/8"" Roll Pin",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA320,"1/4-28-3/8"" Socket Set Screw",Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA365,"3/16 x 1"" Sping Pin SS",Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
FA376,8-32 x 5/16 SS Socket Head,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FA379,"1/4"" SS E-Clip",Columbia Tools,3.25,,0,0,,,,,,,,no_market_data,no_map,,
FA380,"1/8"" SS E-Clip",Columbia Tools,2.95,,0,0,,,,,,,,no_market_data,no_map,,
FA382,"10-32 x 1/4"" SS Set Screw",Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB11-10,"Adjuster Spring - 10""",Columbia Tools,8.00,,1,1,10.05,10.05,10.05,10.05,0.00,-2.05,-20.40,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB11-Columbia-Flat-Box-Adjuster-Spring-7-8-10-6086
FFB11-12,"Adjuster Spring - 12""",Columbia Tools,8.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB11-8,"Adjuster Spring - 8""",Columbia Tools,8.00,,1,1,10.05,10.05,10.05,10.05,0.00,-2.05,-20.40,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB11-8-Columbia-Flat-Box-Adjuster-Spring
FFB16,Door Spring Nut,Columbia Tools,5.00,,1,1,7.35,7.35,7.35,7.35,0.00,-2.35,-31.97,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB16-Columbia-Flat-Box-Door-Spring-Nut-6100
FFB17,Door Spring,Columbia Tools,5.00,,1,1,73.22,73.22,73.22,73.22,0.00,-68.22,-93.17,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB1-7-Columbia-Flat-Box-Rear-Plate-7in-6056
FFB25-10,"Rubber Gasket Retainer - 10""",Columbia Tools,24.95,,1,1,7.50,7.50,7.50,7.50,0.00,17.45,232.67,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB25-10-Columbia-Flat-Box-Rubber-Gasket-Retainer-10in-6105
FFB25-12,"Rubber Gasket Retainer - 12""",Columbia Tools,28.50,,1,1,7.50,7.50,7.50,7.50,0.00,21.00,280.00,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB25-12-Columbia-Flat-Box-Rubber-Gasket-Retainer-12in-11202
FFB32,Door Stop,Columbia Tools,3.00,,1,1,3.78,3.78,3.78,3.78,0.00,-0.78,-20.63,single_source_only,no_map,All-Wall,https://www.all-wall.com/Thumb-Release-Clip
FFB32A,Thumb Release Clip Screw,Columbia Tools,12.50,,1,1,1.70,1.70,1.70,1.70,0.00,10.80,635.29,single_source_only,no_map,All-Wall,https://www.all-wall.com/Thumb-Release-Clip-Screw
FFB36,Box Wheel,Columbia Tools,5.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB37,Rubber for Box Wheel,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB38,Nyliner Bearing,Columbia Tools,2.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB39,Hex Bolt,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB4A,Stainless Steel Washer,Columbia Tools,5.00,,1,1,6.10,6.10,6.10,6.10,0.00,-1.10,-18.03,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB4A-Columbia-Flat-Box-Stainless-Steel-Washer-6112
FFB4B,Stainless Steel Backing Washer,Columbia Tools,4.00,,1,1,5.20,5.20,5.20,5.20,0.00,-1.20,-23.08,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB4B-Columbia-Flat-Box-Stainless-Steel-Backing-Washer-6113
FFB5-10,"Axle - 10""",Columbia Tools,44.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB5-12,"Axle - 12""",Columbia Tools,44.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB5-14,"Axle - 14""",Columbia Tools,44.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB5-7,"Axle - 7""",Columbia Tools,44.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB5-8,"Axle - 8""",Columbia Tools,44.00,,0,0,,,,,,,,no_market_data,no_map,,
FFB5A,Axel Bushing,Columbia Tools,3.00,,1,1,3.78,3.78,3.78,3.78,0.00,-0.78,-20.63,single_source_only,no_map,All-Wall,https://www.all-wall.com/FFB5A-Columbia-Flat-Box-Axle-Bushing-6114
