dtb_sku,dtb_name,dtb_brand,dtb_price,dtb_map_price,competitor_site,competitor_title,competitor_brand,competitor_sku,competitor_mpn,competitor_gtin,competitor_url,competitor_price,competitor_regular_price,competitor_sale_price,currency,availability,variant,match_method,match_score,price_delta,price_delta_pct
CMH,Columbia Closet Monster Handle,Columbia Tools,119.76,113.56,Al's Taping Tools,"Columbia Closet Monster 18"" Flat Box Handle",Columbia Taping Tools,CMH,,,https://www.alstapingtools.com/columbia-closet-monster-18-flat-box-handle/,113.56,113.56,,USD,,,competitor_sku_to_mpn_exact,98.0,-6.20,-5.18
CMT24,"Columbia Compound Tube - 24""",Columbia Tools,197.91,197.91,Al's Taping Tools,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube",Columbia Taping Tools,CMT24,,,https://www.alstapingtools.com/columbia-24-drywall-corner-finishing-compound-mud-tube/,197.91,197.91,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CMT32,"Columbia Compound Tube - 32""",Columbia Tools,208.73,208.73,Al's Taping Tools,"Columbia 32"" Drywall Corner Finishing Compound Mud Tube",Columbia Taping Tools,CMT32,,,https://www.alstapingtools.com/columbia-32-drywall-corner-finishing-compound-mud-tube/,208.73,208.73,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CMT42,"Columbia Compound Tube - 42""",Columbia Tools,221.71,221.71,Al's Taping Tools,"Columbia 42"" Drywall Corner Finishing Compound Mud Tube",Columbia Taping Tools,CMT42,,,https://www.alstapingtools.com/columbia-42-drywall-corner-finishing-compound-mud-tube/,221.71,221.71,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
COBCR,Columbia Outside Corner Roller - Standard,Columbia Tools,86.52,86.52,Al's Taping Tools,Columbia Taping Tools Standard Outside 90 Corner Bead Roller,Columbia Taping Tools,COBCR,,,https://www.alstapingtools.com/columbia-taping-tools-standard-outside-90-corner-bead-roller/,86.52,86.52,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
COBCRW,Columbia Outside Corner Roller - Wide,Columbia Tools,86.52,86.52,Al's Taping Tools,Columbia Taping Tools Superwide Outside 90 Corner Bead Roller,Columbia Taping Tools,COBCRW,,,https://www.alstapingtools.com/columbia-taping-tools-superwide-outside-90-corner-bead-roller/,86.52,86.52,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CR,Columbia Corner Roller,Columbia Tools,167.63,167.63,Al's Taping Tools,Columbia Corner Roller,Columbia Taping Tools,CR,,,https://www.alstapingtools.com/columbia-corner-roller/,167.63,167.63,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
FMH,Columbia UHMW Mud Applicator - L-Trim,Columbia Tools,98.00,91.93,Al's Taping Tools,Columbia L-Trim Mud Applicator Head FMH,Columbia Taping Tools,FMH,,,https://www.alstapingtools.com/columbia-l-trim-mud-applicator-head-fmh/,91.93,91.93,,USD,,,competitor_sku_to_mpn_exact,98.0,-6.07,-6.19
HMP,Columbia Hot Mud Pump - Standard,Columbia Tools,410.97,410.97,Al's Taping Tools,Columbia Hot Mud Pump,Columbia Taping Tools,HMP,,,https://www.alstapingtools.com/columbia-hot-mud-pump/,410.97,410.97,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
IA90,Columbia UHMW Mud Applicator - Inside 90°,Columbia Tools,98.00,91.93,Al's Taping Tools,Columbia 90 Inside Corner Mud Head,Columbia Taping Tools,IA90,,,https://www.alstapingtools.com/columbia-90-inside-corner-mud-head/,91.93,91.93,,USD,,,competitor_sku_to_mpn_exact,98.0,-6.07,-6.19
ICA2-1,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",Columbia Tools,68.13,68.13,Al's Taping Tools,Columbia Inside Corner Applicator 2 Wheels,Columbia Taping Tools,ICA2-1,,,https://www.alstapingtools.com/columbia-inside-corner-applicator-2-wheels/,68.13,68.13,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
