sku,name,type,parent,brand,effective_categories,regular_price,sale_price,cogs,map_price,missing_fields,map_violation,regular_price_below_cogs
CT87,Engraved Cover Plate Cap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,42.00,,,,cogs|map,0,0
HH5,Extension Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
HH30,Extension Release Trigger,simple,,Columbia Tools,Drywall Finishing Tools > Parts,14.25,,,,cogs|map,0,0
CT130,Extension Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,32.50,,13.97,,map,0,0
AH7-2,"Frame Tension Spring - 2""",variation,AH7,Columbia Tools,Drywall Finishing Tools > Parts,12.50,,0.79,,map,0,0
AH7-2.5,"Frame Tension Spring - 2.5""",variation,AH7,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,0.79,,map,0,0
AH7-3,"Frame Tension Spring - 3""",variation,AH7,Columbia Tools,Drywall Finishing Tools > Parts,13.25,,0.79,,map,0,0
AH7-3.5,"Frame Tension Spring - 3.5""",variation,AH7,Columbia Tools,Drywall Finishing Tools > Parts,14.50,,0.79,,map,0,0
CT127,Extension Shaft Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,21.95,,19.39,,map,0,0
MP33,Filler Gasket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
MP28,Filler Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.25,,,,cogs|map,0,0
MP25,Filler Studs,simple,,Columbia Tools,Drywall Finishing Tools > Parts,10.00,,,,cogs|map,0,0
MP2,Foot Valve Casting,simple,,Columbia Tools,Drywall Finishing Tools > Parts,29.00,,,,cogs|map,0,0
AH5,Frame Retainer Clip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
AH6A,Funnel Retainer Clip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,19.00,,12.03,,map,0,0
MH21,Grip Adjuster Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,21.95,,4.40,,map,0,0
MH23,Grip Adjusting Fastener,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.00,,,,cogs|map,0,0
MH22,Grip Adjustment Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.00,,,,cogs|map,0,0
HH15,Grip Sleeve Octagon,simple,,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,,,cogs|map,0,0
CT115,Guard Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,20.00,,11.64,,map,0,0
CT58,Guide Rod Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,4.67,,map,0,0
CT126,Hand Grip Body,simple,,Columbia Tools,Drywall Finishing Tools > Parts,66.00,,,,cogs|map,0,0
CT124,Hand Grip Guard Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,20.00,,,,cogs|map,0,0
HNS12,Handle Clamp,simple,,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,,,cogs|map,0,0
CR11,Handle Connecting Link,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,,,cogs|map,0,0
HH35,Handle Grip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,7.00,,,,cogs|map,0,0
MH4,Handle Grip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,37.00,,,,cogs|map,0,0
MH11,Handle Grip Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,,,cogs|map,0,0
AH1-2,"Head Casting - 2""",variation,AH1,Columbia Tools,Drywall Finishing Tools > Parts,153.00,,,,cogs|map,0,0
AH1-2.5,"Head Casting - 2.5""",variation,AH1,Columbia Tools,Drywall Finishing Tools > Parts,173.85,,,,cogs|map,0,0
AH1-3,"Head Casting - 3""",variation,AH1,Columbia Tools,Drywall Finishing Tools > Parts,153.00,,,,cogs|map,0,0
AH1-3.5,"Head Casting - 3.5""",variation,AH1,Columbia Tools,Drywall Finishing Tools > Parts,153.00,,,,cogs|map,0,0
HFFB3,Hinge Box End Plate - Right,variation,HFFB3-PLATE,Columbia Tools,Drywall Finishing Tools > Parts,36.00,,,,cogs|map,0,0
HFFB3A,Hinge Box End Plate - Left,variation,HFFB3-PLATE,Columbia Tools,Drywall Finishing Tools > Parts,36.00,,,,cogs|map,0,0
MP6,Handle Link,simple,,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
HNSA-14,Handle Link Assembly,simple,,Columbia Tools,Drywall Finishing Tools > Parts,45.00,,,,cogs|map,0,0
MH1,Handle Mount Plate,simple,,Columbia Tools,Drywall Finishing Tools > Parts,75.00,,,,cogs|map,0,0
CR6,Handle Mounting Swivel,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,9.11,,map,0,0
HPA-48,Handle Pin Assembly,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
HH8,Handle Tube,simple,,Columbia Tools,Drywall Finishing Tools > Parts,45.00,,,,cogs|map,0,0
MP5,Head Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,13.95,,,,cogs|map,0,0
CR1,Head Casting,simple,,Columbia Tools,Drywall Finishing Tools > Parts,39.00,,,,cogs|map,0,0
FFB39,Hex Bolt,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
CT20,Hinge Block,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,6.21,,map,0,0
CFB15A,Hinge Bushing (Plastic Washer),simple,,Columbia Tools,Drywall Finishing Tools > Parts,8.50,,,,cogs|map,0,0
BH6,Hinge Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.25,,,,cogs|map,0,0
MH6,Hinge Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
CT79,Hollow Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,38.50,,23.27,,map,0,0
CT68,Hub,simple,,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,9.31,,map,0,0
CT2,Insert Bushing for CT#7A,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,2.32,,map,0,0
MH13,Large Nyliner Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CT4,Wafer Bushing - Left,variation,CT-WAFER-BUSHING,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT5,Wafer Bushing - Right,variation,CT-WAFER-BUSHING,Columbia Tools,Drywall Finishing Tools > Parts,11.50,,0.77,,map,0,0
HP47,Latch Clamp Assembly,simple,,Columbia Tools,Drywall Finishing Tools > Parts,28.95,,,,cogs|map,0,0
HP46,Latch Keeper,simple,,Columbia Tools,Drywall Finishing Tools > Parts,19.75,,,,cogs|map,0,0
MP8,Leg,simple,,Columbia Tools,Drywall Finishing Tools > Parts,71.00,,,,cogs|map,0,0
HH17C,Line Pincher,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
BH4,Lower Brake Lever,simple,,Columbia Tools,Drywall Finishing Tools > Parts,19.75,,15.32,,map,0,0
MH3,Lower Mount Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
BH3,Lower Mounting Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,32.00,,,,cogs|map,0,0
CT80,Manual Drive Grip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.75,,,,cogs|map,0,0
MH2,Matrix Handle Head,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
CT43,Micro Chain,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.50,,19.39,,map,0,0
MH3A,Mounting Bracket Stem,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
BH1,Mounting Plate,simple,,Columbia Tools,Drywall Finishing Tools > Parts,30.00,,37.15,,map,0,1
MP24,Mud Pump Screen,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
MP23,Mud Pump Seal,simple,,Columbia Tools,Drywall Finishing Tools > Parts,16.50,,,,cogs|map,0,0
HFFB1A-10,"Mud Seal Strip - 10""",simple,,Columbia Tools,Drywall Finishing Tools > Parts,10.00,,,,cogs|map,0,0
CT96,Mud Shut-Off Gasket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,1.36,,map,0,0
CT98,Mud Supply Seal Plate & Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,3.09,,map,0,0
CT97,Mud Supply Valve Body,simple,,Columbia Tools,Drywall Finishing Tools > Parts,34.50,,15.52,,map,0,0
CFB6,Mud Supply Valve Unit,simple,,Columbia Tools,Drywall Finishing Tools > Parts,29.00,,17.07,,map,0,0
HNS17A,Nail Spotter Handle Tightness Screw,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CT63,Needle,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT62,Needle Holding Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,,,cogs|map,0,0
MP13A,Piston Backing Washer - Small,variation,MP-PISTON-BACKING-WASHER,Columbia Tools,Drywall Finishing Tools > Parts,12.50,,,,cogs|map,0,0
MP13,Piston Backing Washer - Large,variation,MP-PISTON-BACKING-WASHER,Columbia Tools,Drywall Finishing Tools > Parts,14.25,,,,cogs|map,0,0
CT64,Needle Return Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,3.09,,map,0,0
CT65,Needle Return Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,2.13,,map,0,0
HFFB4D,Nylatron Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
MP36,Nylatron Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.50,,,,cogs|map,0,0
CT76,Nylatron Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.25,,,,cogs|map,0,0
FFB38,Nyliner Bearing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
HP45,O Ring Enclosure,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.00,,,,cogs|map,0,0
CT121A,O-Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
MP23A,O-Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
MH10,Octagon,simple,,Columbia Tools,Drywall Finishing Tools > Parts,36.00,,,,cogs|map,0,0
CT19,Paper Feed Guide,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,20.96,,map,0,0
MH17,Pinch Brake,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.50,,10.77,,map,0,0
MH15,Pinch Brake Activator,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.00,,,,cogs|map,0,0
MH24,Pinch Brake Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.75,,5.88,,map,0,0
MH18,Pinch Brake Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,20.00,,,,cogs|map,0,0
MH19,Pinch Brake Sleeve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,28.00,,,,cogs|map,0,0
MH25,Pinch Brake Stem,simple,,Columbia Tools,Drywall Finishing Tools > Parts,14.95,,6.36,,map,0,0
MH12,PinchBrake Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
CT107,Piston Body,simple,,Columbia Tools,Drywall Finishing Tools > Parts,27.00,,15.51,,map,0,0
CT111,Piston Cup,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.75,,9.31,,map,0,0
MP14,Piston Cup,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.75,,,,cogs|map,0,0
HH16,Piston Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,27.00,,,,cogs|map,0,0
CT3,Insert Bushing - Right,variation,CT-INSERT-BUSHING,Columbia Tools,Drywall Finishing Tools > Parts,12.00,,,,cogs|map,0,0
CT3A,Insert Bushing - Left,variation,CT-INSERT-BUSHING,Columbia Tools,Drywall Finishing Tools > Parts,14.50,,,,cogs|map,0,0
CT29,Nylatron Chain Roller - Right (Small),variation,CT-NYLATRON-CHAIN-ROLLER,Columbia Tools,Drywall Finishing Tools > Parts,13.50,,1.93,,map,0,0
CT29A,Nylatron Chain Roller - Left (Large),variation,CT-NYLATRON-CHAIN-ROLLER,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,1.93,,map,0,0
HH23,Piston O-Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
MP11,Piston Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,28.50,,,,cogs|map,0,0
HNS18,Pivot,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
BH2,Plate,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.50,,22.92,,map,0,0
HP1,Pump Cylinder,simple,,Columbia Tools,Drywall Finishing Tools > Parts,52.00,,,,cogs|map,0,0
MP3,Pump Flapper Valve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
MP7,Pump Handle,simple,,Columbia Tools,Drywall Finishing Tools > Parts,87.00,,,,cogs|map,0,0
CT67,Ratchet Gear,simple,,Columbia Tools,Drywall Finishing Tools > Parts,34.50,,3.09,,map,0,0
CT15,Ratchet Rod for Adjustable Brake,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,,,cogs|map,0,0
CT92,Release Clip Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,10.00,,6.21,,map,0,0
HH31,Release Clip Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.95,,,,cogs|map,0,0
HH32,Release Clip Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.00,,,,cogs|map,0,0
CT89,Release Rod Sleeve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.95,,9.31,,map,0,0
AH1B,Return Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
CT101,Return Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,9.25,,,,cogs|map,0,0
CT54,Return Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
CT40,Return Spring Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT36,Return Spring Tube,simple,,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,20.16,,map,0,0
HH33,Rlease Trigger Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.75,,,,cogs|map,0,0
FFB7,Shoe - Right,variation,FFB7-SHOE,Columbia Tools,Drywall Finishing Tools > Parts,42.95,,,,cogs|map,0,0
FFB7A,Shoe - Left,variation,FFB7-SHOE,Columbia Tools,Drywall Finishing Tools > Parts,42.95,,,,cogs|map,0,0
CFB3-7,"Side Plate - 7""",variation,CFB3,Columbia Tools,Drywall Finishing Tools > Parts,40.00,,,,cogs|map,0,0
CFB3-8,"Side Plate - 8""",variation,CFB3,Columbia Tools,Drywall Finishing Tools > Parts,40.00,,,,cogs|map,0,0
CT90,Rod Sleeve Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.50,,,,cogs|map,0,0
HNS12A,Roll Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,,,cogs|map,0,0
HNS13,Roll Pin Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,9.95,,,,cogs|map,0,0
CR2,Roller,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.00,,,,cogs|map,0,0
CT28,Roller Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,10.75,,2.32,,map,0,0
CT125,Rollers,simple,,Columbia Tools,Drywall Finishing Tools > Parts,15.25,,1.93,,map,0,0
FFB37,Rubber for Box Wheel,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT87-CS,Rubber Seal,simple,,Columbia Tools,Drywall Finishing Tools > Parts,9.75,,4.25,,map,0,0
AH4,Side Blade,simple,,Columbia Tools,Drywall Finishing Tools > Parts,29.50,,2.13,,map,0,0
CT7A,Side Plate Hub,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.50,,7.76,,map,0,0
MP39,Sleeve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,14.75,,,,cogs|map,0,0
MH20,Small Nyliner Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
AH18,Socket Wear Cap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,9.00,,,,cogs|map,0,0
CT119,Spool Retaining Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,7.25,,3.49,,map,0,0
AH1A,Spring Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,,,cogs|map,0,0
FFB4B,Stainless Steel Backing Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
CT6A,Stainless Steel Side Plate - Left,simple,,Columbia Tools,Drywall Finishing Tools > Parts,42.95,,22.32,,map,0,0
FFB4A,Stainless Steel Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CT116A,Strap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,28.50,,11.64,,map,0,0
AH8A,"Top Retainer Corner Clip - 3.5""",variation,AH8-CLIP,Columbia Tools,Drywall Finishing Tools > Parts,9.75,,,,cogs|map,0,0
AH8,Top Retainer Corner Clip - Standard,variation,AH8-CLIP,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,3.84,,map,0,0
D14-22,Dura-III Adjustable - 14”-22”,variation,DS-DURA-III,Dura-Stilts,Stilts & Accessories > Stilts,400.00,,,,cogs|map,0,0
D18-30,Dura-III Adjustable - 18”-30”,variation,DS-DURA-III,Dura-Stilts,Stilts & Accessories > Stilts,415.00,,,,cogs|map,0,0
D24-40,Dura-III Adjustable - 24”-40”,variation,DS-DURA-III,Dura-Stilts,Stilts & Accessories > Stilts,435.00,,,,cogs|map,0,0
D38-64,Dura-III Adjustable - 38”-64”,variation,DS-DURA-III,Dura-Stilts,Stilts & Accessories > Stilts,584.00,,,,cogs|map,0,0
4-701,"LEVEL5 Corner Applicator - 7""",variation,LV5-CORNER-APPLICATOR,LEVEL5,Drywall Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,285.59,,,,cogs|map,0,0
4-702,"LEVEL5 Corner Applicator - 8""",variation,LV5-CORNER-APPLICATOR,LEVEL5,Drywall Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,294.52,,,,cogs|map,0,0
4-794,"LEVEL5 Corner Applicator Handle (Extendable) - 31""-50""",variation,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Extendable Handles,175.08,,,,cogs|map,0,0
4-798,"LEVEL5 Corner Applicator Handle (Extendable) - 43""-72""",variation,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Extendable Handles,193.78,,,,cogs|map,0,0
BH11,Strap Connecting Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,7.95,,,,cogs|map,0,0
CR12,Swivel Coupling Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.50,,2.40,,map,0,0
CT57,Tape Advance Carriage,simple,,Columbia Tools,Drywall Finishing Tools > Parts,82.00,,52.75,,map,0,0
CT120,Tape Spool,simple,,Columbia Tools,Drywall Finishing Tools > Parts,14.50,,15.51,,map,0,1
CT14A,Taper Adjustable Brake,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.50,,3.69,,map,0,0
FFB32A,Thumb Release Clip Screw,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.50,,,,cogs|map,0,0
CT53,Toe Kicker,simple,,Columbia Tools,Drywall Finishing Tools > Parts,28.50,,13.59,,map,0,0
CT92A,Toe Kicker Caple Retainer Clip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,7.95,,1.56,,map,0,0
HH10A,Top Cap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
BH5,Upper Mounting Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.50,,5.43,,map,0,0
HH2,Upper Mounting Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,66.00,,,,cogs|map,0,0
HNS20,Wedge,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.50,,,,cogs|map,0,0
4-732,"LEVEL5 Corner Finisher - 2.5""",variation,LV5-CORNER-FINISHER,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,397.37,,,,cogs|map,0,0
4-733,"LEVEL5 Corner Finisher - 3""",variation,LV5-CORNER-FINISHER,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,406.72,,,,cogs|map,0,0
4-734,"LEVEL5 Corner Finisher - 3.5""",variation,LV5-CORNER-FINISHER,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,416.07,,,,cogs|map,0,0
4-735,"LEVEL5 Corner Finisher - 4""",variation,LV5-CORNER-FINISHER,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,425.42,,,,cogs|map,0,0
4-795,"LEVEL5 Corner Finisher Handle (Extendable) - 31""-50""",variation,LV5-CORNER-HANDLE-FINISHER-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Extendable Handles,186.98,,,,cogs|map,0,0
4-799,"LEVEL5 Corner Finisher Handle (Extendable) - 43""-72""",variation,LV5-CORNER-HANDLE-FINISHER-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Extendable Handles,205.68,,,,cogs|map,0,0
4-743,"LEVEL5 Corner Flusher - 3""",variation,LV5-CORNER-FLUSHER,LEVEL5,Drywall Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,128.69,,,,cogs|map,0,0
4-744,"LEVEL5 Corner Flusher - 3.5""",variation,LV5-CORNER-FLUSHER,LEVEL5,Drywall Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,132.74,,,,cogs|map,0,0
4-767,"LEVEL5 Flat Box (MEGA) - 7""",variation,LV5-FLAT-BOX-MEGA,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,398.64,,,,cogs|map,0,0
4-768,"LEVEL5 Flat Box (MEGA) - 10""",variation,LV5-FLAT-BOX-MEGA,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,407.99,,,,cogs|map,0,0
4-769,"LEVEL5 Flat Box (MEGA) - 12""",variation,LV5-FLAT-BOX-MEGA,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,422.02,,,,cogs|map,0,0
4-764,"LEVEL5 Flat Box (Standard) - 7""",variation,LV5-FLAT-BOX-STANDARD,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,379.52,,,,cogs|map,0,0
4-765,"LEVEL5 Flat Box (Standard) - 10""",variation,LV5-FLAT-BOX-STANDARD,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,388.87,,,,cogs|map,0,0
4-766,"LEVEL5 Flat Box (Standard) - 12""",variation,LV5-FLAT-BOX-STANDARD,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,398.64,,,,cogs|map,0,0
4-770,"LEVEL5 Flat Box (Standard) - 14""",variation,LV5-FLAT-BOX-STANDARD,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,412.67,,,,cogs|map,0,0
4-759,"LEVEL5 Flat Box Handle (Extendable) - 48""-78""",variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,313.22,,,,cogs|map,0,0
4-780,"LEVEL5 Flat Box Handle (Extendable) - 40""-62""",variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,303.87,,,,cogs|map,0,0
4-781,"LEVEL5 Flat Box Handle (Extendable) - 30""-42""",variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,294.52,,,,cogs|map,0,0
4-782,"LEVEL5 Flat Box Handle (Extendable) - 23""-32""",variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,276.24,,,,cogs|map,0,0
4-711,"LEVEL5 Flat Box Handle (Fixed Length) - 34""",variation,LV5-FLAT-BOX-HANDLE-FIXED,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,175.09,,,,cogs|map,0,0
4-712,"LEVEL5 Flat Box Handle (Fixed Length) - 42""",variation,LV5-FLAT-BOX-HANDLE-FIXED,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,184.02,,,,cogs|map,0,0
4-740,"LEVEL5 Flat Box Handle (Fixed Length) - 54""",variation,LV5-FLAT-BOX-HANDLE-FIXED,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,202.72,,,,cogs|map,0,0
4-754,"LEVEL5 Nail Spotter - 2""",variation,LV5-NAIL-SPOTTER,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Nail Spotters,271.14,,,,cogs|map,0,0
4-755,"LEVEL5 Nail Spotter - 3""",variation,LV5-NAIL-SPOTTER,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Nail Spotters,289.84,,,,cogs|map,0,0
4-630,LEVEL5 The Starter Taping Set,simple,,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,2111.16,,,,cogs|map,0,0
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,variation,LV5-ENTRY-FINISHING-SET,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,2395.52,,,,cogs|map,0,0
4-600P,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,variation,LV5-ENTRY-FINISHING-SET,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,3850.7,,,,cogs|map,0,0
4-677P,LEVEL5 The Ultimate Taping & Finishing Set,simple,,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,6342.64,,,,cogs|map,0,0
5-777,"LEVEL5 Corner Roller Handle - 50""",variation,LV5-CORNER-ROLLER-HANDLE,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Fixed Handles,89.99,,,,cogs|map,0,0
4-777,"LEVEL5 Corner Roller Handle - 54""",variation,LV5-CORNER-ROLLER-HANDLE,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Fixed Handles,92.22,,,,cogs|map,0,0
4-778,"LEVEL5 50"" Fixed Handle - Corner Applicator",variation,LV5-FIXED-HANDLE-50,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Fixed Handles,92.22,,,,cogs|map,0,0
4-779,"LEVEL5 50"" Fixed Handle - Corner Finisher",variation,LV5-FIXED-HANDLE-50,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Fixed Handles,92.22,,,,cogs|map,0,0
4-792,"LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle",simple,,LEVEL5,Drywall Finishing Tools > Automatic Taping Tools > Extendable Handles,179.33,,,,cogs|map,0,0
