Brands,Name,SKU,Description,Images
Columbia,Columbia Aluminum Coarse Thread Adapter,PHA,Columbia Aluminum Coarse Thread Adapter There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPHA_M.jpg
Columbia,Columbia 2″ Nailspotter,2NS,The Columbia 2″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market. Features: Available in 2″ and 3″ sizes Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/2NS_M.jpg
Columbia,Columbia Gooseneck,GN,"Available in our regular and Tallboy, these stainless steel attachments are tough and effective. Rubber covers on the horseshoe protect your taper while being filled. Features: Tig welded stainless steel Rubber coated horseshoe Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTGN_M.jpg
Columbia,Columbia 3″ Anglehead,3AH,"The Columbia 3″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint. Features: Precision set carbide blades Highly durable stainless wings Comes with wheel kit installed and Allan key for easy removal Slide lock for easy and secure attachment Four sizes available – 2″, 2.5″, 3″ and 3.5″ Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/3AH_M.jpg
Columbia,Columbia 3″ Nailspotter,3NS,The Columbia 3″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market. Features: Available in 2″ and 3″ sizes Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/3NS_M.jpg
Columbia,"Columbia 2.5"" Standard Corner Flusher",25SF,"Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. Features: Precision hand ground and set 5 designs: 2.5″, 3″, 3.5″, 4″ and wide track Wheels come standard Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/3SF_M.jpg
Columbia,"Columbia 3"" Standard Corner Flusher",3SF,"Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. Features: Precision hand ground and set 5 designs: 2.5″, 3″, 3.5″, 4″ and wide track Wheels come standard Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/3SF_M.jpg
Columbia,"Columbia 36"" 180-Grip Flat Box Handle",3BH,"The New 36"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish. Features: Feather Weight - Lightest Box Handles Around Clamp style 180 brake is simple and more durable than pinch brakes Strong billet aluminum design with black anodizing, and laser engraving Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point Additional braking, control, and range of motion versus competitor handles Compatible with all leading brand boxes (Excluding TapeWorm). 36"" Feather Weight 180-Grip is ideal for wall work, tight areas, butt joints, and low ceilings There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/13817_MD-CTT3BH_M.jpg
Columbia,Columbia 8″ Throttle Box,8CFB,"The 8″ Throttle Box is another great product of ours that offers years of great performance. All billet construction with a threaded stainless steel ball, this Corner Box looks and operates seamlessly. All our Corner Boxes now come standard with automatic capabilities, making pushing the box at least 50% easier than standard boxes. The new springs have adjustable tensions and greatly reduce the occurence of air pockets while running. The Throttle Box allows the corners to be quickly coated with your choice of angle head or applicator head. *Patent Pending Features: Available in 7″ and 8″ sizes New spring tension allows for 50% easier push Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Patent Pending There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/8CFB_M.jpg
Columbia,Columbia 3.5″ Anglehead,35AH,"The Columbia 3.5″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint. Features: Precision set carbide blades Highly durable stainless wings Comes with wheel kit installed and Allan key for easy removal Slide lock for easy and secure attachment Four sizes available – 2″, 2.5″, 3″ and 3.5″ Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/3AH_M.jpg
Columbia,Columbia Cover Plate Cork Seal,CT87CS,Columbia Cover Plate Cork Seal There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/13811_MD-CTTCT87CS.jpg
Columbia,"Columbia 10"" Fat Boy Flat Box",10FBB,"Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations. Features: Available in 5.5″, 8″, 10″, 12″ sizes Bead wheel protects axel from wear while running box on bead Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/12FBB_M.jpg
Columbia,Columbia 2.5″ Anglehead,25AH,"The Columbia 2.5″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint. Features: Precision set carbide blades Highly durable stainless wings Comes with wheel kit installed and Allan key for easy removal Slide lock for easy and secure attachment Four sizes available – 2″, 2.5″, 3″ and 3.5″ Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/2_5AH_M.jpg
Columbia,"Columbia 42"" Compound Mud Tube",CMT42,"Columbia Compound Tubes have taken the market place by storm. Finally a high quality long lasting tube that is easy to push. We have had many customers, after trying this tube, report back that they changed over their entire fleet. Features: Sizes 24″, 32″, 42″, and 55″ available A combination of factors result in the compound being easily pushed through your tools Stainless steel ball Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTCMT_M.jpg
Columbia,Columbia Flat Applicator,CFLT,"These tools glide along the wall leaving the perfect amount of compound on flat surfaces. Machined from a solid piece of billet and then mounted with stainless runners, this tool is built to work. Features: Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTCFLT_M.jpg
Columbia,Columbia Twist Lock Extendable Handle 3' - 8',TL38,"Our popular Twist Lock Handle is a three stage pole with a brass thread that allows users to easily adjust where the seam falls, creating a more comfortable grip. This handle extends from 3′ to 8′ and is used with the Nail Spotters, all Rollers and the Angle Head Adaptor. Features: This handle extends 3′ -8′ Handmade from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Hard anodized tube There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTTL38_M.jpg
Columbia,Columbia Two Way Internal Corner Applicator,ICATW,Columbia Two Way Internal Corner Applicators are all machined from solid aluminum billet. They are very accurate and their Delrin wheels glide along the wall. Features: Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/CTTICATW_M.jpg
Columbia,"Columbia 2.5"" Combo Flusher",25CSF,"Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. Features: Precision hand ground and set 4 designs: 2.5″, 3″, 3.5″ & wide track Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/3CSF_M.jpg
Columbia,"Columbia 3"" Direct Corner Flusher",3DF,"Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. Features: Precision hand ground and set 5 designs: 2.5″, 3″, 3.5″, 4″ and wide track Wheels come standard Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/3DF_M.jpg
Columbia,Columbia 4-8' Long Extendible Handle,CHXL,"The Columbia Long Extendible Handle is a 1 and 1/4″ thick design pipe. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Long Extendible Handle is not only the lightest on the market, but also the strongest, ensuring a long life. REACHLINE Extendible Handles are perfect when you just need an extra foot, or four. They also work great in smaller spaces when you need a little less length. You can adjust for your working conditions on the fly. Features: This handle extends 4′ -8′ For safety reasons, this handle is not compatible with the Corner Flusher Box Handmade from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Hard anodized tube Comfort grips Thickest, strongest and lightest handle on the market There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTCHXL_M.jpg
Columbia,"Columbia 5.5"" Flat Finishing Box",55FFB,"Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations. Features: Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box) Bead wheel protects axel from wear while running box on bead Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/5_5FFB_M.jpg
Columbia,Columbia Anglehead Adaptor,AHA,The Anglehead Adaptor is used on the Columbia One Handle System to seamlessly adjust from Corner Roller and Nailspotter to Anglehead! The AHA is purchased separately. Features: Works seamlessly with the Columbia One Handle System Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/CTTAHA_M.jpg
Columbia,Columbia Automatic Taper,TAPER,"The Columbia Automatic Taper is a precision built tool that has been perfected over 40 years. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to any easy to remove cap for cleaning, this tool will not let you down. A hard anodized tube eliminates the track lines that occur on so many other tools. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. The NEW Patent Pending Pump Action Sleeve gives the operator the smoothest cut on the market and the pull ring is great for higher ceilings. Every taper comes standard with an adjustable brake and quick release for tape changing. If you are serious about taping and care how a taper feels and performs this is the one for you. Features: Handmade from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Now with NEW Pump Action Sleeve – smoothest cutting sleeve on the market Adjustable Brake Quick release for tape changing Zero Drag system for corners Hard anodized tube Stainless steel side plates, creaser arms and cable drum Quick release cap There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTTAPER_M.jpg
Columbia,Columbia Corner Cobra Adjustable Roller,CC,"The Corner Cobra is an amazing time saving tool. It allows the user to roll out No-Coat and other structural corner beads at almost all inside and outside angles. We have heard back from users that it does it quicker and better, which is to us a home run. Another one of our patented products that is changing the time it takes to finish a job. Features: Works on inside and outside angles from 85 to 180 degrees Sets No-Coat 350 and 425 as well as regular tapes Tracks the centre and outside edge leaving only a knife feather Fits Corner Roller handles Shocks allow for imperfect angles and settings Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/12685_MD-CTTCC.jpg
Columbia,Columbia Angle Head Retainer Clip,AH9,Columbia Angle Head Retainer Clip There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/13865_MD-CTTAH9_M.jpg
Columbia,"Columbia 24"" Tomahawk Smoothing Blade",TSB24,"Columbia 24"" Tomahawk Smoothing Blade There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/12763_MD-Tomahawk24.png
Columbia,"Columbia 3.5"" Angle Head Carbide Blade",AH335,"Columbia 3.5"" Angle Head Carbide Blade There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/13822_MD-CTTAH335_M.jpg
Columbia,"Columbia 42"" 180-Grip Flat Box Handle",42BH,"The New 42"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish. Features: Feather Weight - Lightest Box Handles Around Clamp style 180 brake is simple and more durable than pinch brakes Strong billet aluminum design with black anodizing, and laser engraving Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point Additional braking, control, and range of motion versus competitor handles Compatible with all leading brand boxes (Excluding TapeWorm). 42"" Feather Weight 180-Grip is ideal for all-around wall work, butt joints, and low ceilings There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/6BH_M.jpg
Columbia,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",6BH,"Columbia 72"" 180-Grip Featherweight Flat Box Handle There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/6BH_M.jpg
Columbia,"Columbia 8"" Door Gasket for Angle Box",CFB78,"Columbia 8"" Door Gasket for Angle Box There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/13777_MD-CTTCFB78_M.jpg
Columbia,"Columbia 8"" Fat Boy Flat Box",8FBB,"Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations. Features: Available in 5.5″, 8″, 10″, 12″ sizes Bead wheel protects axel from wear while running box on bead Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/8FBB_M.jpg
Columbia,Columbia Matrix XL Extendable Flat Box Handle,MHL,"The Columbia Matrix Flat Box Handle is lightweight and all mechanical. With a 90 degree grip, the Matrix gives you increased control over your box. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Matrix mechanical flat box handle is made of all billet aluminum, ensuring a long life. Features: Now available in 3 sizes! Fully mechanical brake 90 degree grip allows for better control over the box First Flat Box Handle handmade solely from U.S. billet aluminum Sizes extend: 29″ to 39″ (MHS), 40″ to 60″ (MH), and 56″ to 76″ (MHL) Machined in our state of the art facility in Canada Ergonomic handle grip for easy brake pressure Fits all Flat Box brands There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTMHS_M.jpg
Columbia,Columbia Road Case,RC,"The highly requested Columbia Road Case has an extremely durable design to protect your tools on the job. Built to take the abuses of travel, and wear and tear from job sites, the Road Case comes equipped with rubber feet, rolling wheels and ergonomic handles. This case will hold a full set of Columbia tools, including a pump! Features: Most durable tool case on the market Rolling wheels Ergonomical handles on front and side for easy carrying and rolling Rubber feet on bottom for protection and easy grip Latches have locking capabilities Measurements: 17”x9”x57” There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTRC_M.jpg
Columbia,Columbia Semi Automatic Tool Case,TCS,"Lightweight, but extremely durable, Columbia’s Semi-Automatic case can accommodate a complete semi-automatic set of tools. With the egg-shell foam inside, the case secures the tools in place when it is latched closed. The Semi-Automatic case is also useful for storage of the Columbia Tomahawk Smoothing Blades (up to 40″). Not intended for automatic tools. Features: Fits a full set of Columbia Semi Automatic Tools Eggshell foam for support 4 lock latches Combination of piano-style and brass hinges for storage safety when locked Measurements: 53.4″ x 16.5″ x 4.5″ Made in North America There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTTCS_M.jpg
Columbia,Columbia Tactical Set,TS,"The NEW Tactical Set makes moving to Automatic Taping Tools easy! Every taping tool you will need to completely finish a house comes packaged inside our durable, rugged Road Case. This set takes the guess work out of choosing the perfect drywall taping tools kit. SET INCLUDES: Road Case Automatic Taper 10″ Flat Box 12″ Flat Box Matrix Handle 7″ Tomahawk 24″ Tomahawk 8″ Throttle Box 3″ Anglehead Hot Mud Pump Box Filler & Gooseneck Corner Roller AHA 3″ Nail Spotter Columbia One Handle and Columbia One EXT Sander Head Twist Lock Handle Tomalock Adapter Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1 There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTTS_M.jpg
Columbia,Columbia Wide Outside Corner Roller,COBCRW,"Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. COBCRW – Wide = 1.930” Features: Available in Standard, Bullnose, Wide and Micro (European) Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTCOBCRW_M.jpg
Columbia,"Columbia 18"" Closet Monster Flat Box Handle",CMH,"The Columbia Closet Monster Flat Box Handle is a 1 and 1/4″ thick design pipe. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Closet Monster is not only the lightest on the market, but also the strongest, ensuring a long life. The Closet Monster is especially useful for boxing tight areas where a longer handle will not fit. At approximately 19 inches in length, this short handle is a great option for closets and other small spaces. An adjustable wing-nut on the head will allow you to fix the box to your desired angle. Features: Handmade from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Hard anodized tube Comfort grips Thickest, strongest and lightest handle on the market There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTCMH_M.jpg
Columbia,"Columbia 18"" Tomahawk Smoothing Blade",TSB18,"Columbia 18"" Tomahawk Smoothing Blade There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/12762_MD-Tomahawk18.png
Columbia,"Columbia 2.5"" Angle Head Carbide Blade",AH325,"Columbia 2.5"" Angle Head Carbide Blade There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/13852_MD-CTTAH32_M.jpg
Columbia,"Columbia 2.5"" Anglehead Blade Maintenance Kit",AHRBK25,Parts: 2 – AH3 Top Blades 2 – AH4 Side Blades 16 FA235 6/32×1/8″ Set Screws 1 – AH19 1/16″ Allen Key There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/12775_MD-Angle_Head_Kit_M.jpg
Columbia,Columbia 2″ Anglehead,2AH,"The Columbia 2″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint. Features: Precision set carbide blades Highly durable stainless wings Comes with wheel kit installed and Allan key for easy removal Slide lock for easy and secure attachment Four sizes available – 2″, 2.5″, 3″ and 3.5″ Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/2AH_M.jpg
Columbia,"Columbia 32"" Tomahawk Smoothing Blade",TSB32,"Columbia 32"" Tomahawk Smoothing Blade There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/12764_MD-Tomahawk32.png
