sku,field,before,after,protected_field
CF25COMBO,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF25TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF25TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF25TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF25TT,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF30COMBO,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF30COMBO,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF30COMBO,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF30COMBO,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF30TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF30TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF30TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF30TT,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF35COMBO,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF35COMBO,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF35COMBO,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF35COMBO,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF35TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF35TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF35TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF35TT,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF40COMBO,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF40COMBO,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF40COMBO,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF40COMBO,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CF40TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF40TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF40TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CF40TT,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
CFA-TT,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Tool Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
CFA-TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CFA-TT,Meta: _dtb_category_key,handles,automatic_taping_tools,false
CFA-TT,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
CFB10,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB10,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB11A,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB11A,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB15,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB15,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB15A,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB15A,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB16,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB16,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB3,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB3,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB3-7,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB3-7,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB3-8,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB3-8,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB4,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB4,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB4-7,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB4-7,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB4-8,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB4-8,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB5B,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB5B,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB6,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB6,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB7,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB7,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB7-7,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB7-7,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB7-8,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB7-8,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFB8,Categories,Drywall Finishing Tools > Parts,Replacement Parts,false
CFB8,Meta: _dtb_commerce_mode,quote_only,purchasable,false
CFLT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
CFLT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CFLT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CFLT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
CH55TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
CH55TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CH55TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CH55TT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
CH75TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
CH75TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CH75TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CH75TT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
