sku,field,before,after,protected_field
03TT,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
03TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
03TT,Meta: _dtb_category_key,taping,automatic_taping_tools,false
07TT,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
07TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
07TT,Meta: _dtb_category_key,taping,automatic_taping_tools,false
07TT,Meta: _dtb_schematic_url,/schematics?brand=tapetech&amp;category=Automatic+Tapers&amp;schematic=tapetech-07tt,/schematics?brand=tapetech&category=Automatic+Tapers&schematic=tapetech-07tt,false
07TT-C,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
07TT-C,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
07TT-C,Meta: _dtb_category_key,taping,automatic_taping_tools,false
10FBB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FBB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FBB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FBB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FBBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FBBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FBBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FBBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FBBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-fat-boy-box,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-fat-boy-box,false
10FFB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FFB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FFB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FFB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FFB,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-flat-box&amp;variant=10,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-flat-box&variant=10,false
10FFBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FFBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FFBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FFBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FFBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-automatic-flat-box&amp;variant=10,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-automatic-flat-box&variant=10,false
12FBB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FBB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FBB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FBB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FBBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FBBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FBBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FBBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FBBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-fat-boy-box,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-fat-boy-box,false
12FFB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FFB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FFB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FFB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FFB,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-flat-box&amp;variant=12,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-flat-box&variant=12,false
12FFBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FFBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FFBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FFBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FFBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-automatic-flat-box&amp;variant=12,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-automatic-flat-box&variant=12,false
14FFB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
14FFB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
14FFB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
14FFB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
14FFB,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-flat-box&amp;variant=14,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-flat-box&variant=14,false
14FFBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
14FFBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
14FFBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
14FFBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
14FFBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-automatic-flat-box&amp;variant=14,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-automatic-flat-box&variant=14,false
14TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
14TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
14TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
14TT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
15TTE,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
15TTE,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
15TTE,Meta: _dtb_category_key,corner,automatic_taping_tools,false
15TTE,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
16TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
16TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
16TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
16TT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
16TT90,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
16TT90,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
16TT90,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
16TT90,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
17TT,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
17TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
17TT,Meta: _dtb_category_key,corner,automatic_taping_tools,false
17TT,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
17TT,Meta: _dtb_schematic_url,/schematics?brand=tapetech&amp;category=Corner+Tools&amp;schematic=tapetech-17tt,/schematics?brand=tapetech&category=Corner+Tools&schematic=tapetech-17tt,false
17TTE,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
17TTE,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
17TTE,Meta: _dtb_category_key,corner,automatic_taping_tools,false
17TTE,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
2.5AH,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
2.5AH,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
2.5AH,Meta: _dtb_category_key,corner,automatic_taping_tools,false
2.5AH,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
2.5AH,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=2-5,/schematics?brand=columbia-taping-tools&category=Angleheads&schematic=columbia-angle-head&variant=2-5,false
2.5CSF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
2.5CSF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
2.5CSF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
2.5CSF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
2.5CSF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-combo-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-combo-flusher,false
2.5DF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
2.5DF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
2.5DF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
2.5DF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
2.5DF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-direct-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-direct-corner-flusher,false
2.5SF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
2.5SF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
2.5SF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
2.5SF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
2.5SF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-standard-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-standard-corner-flusher,false
2AH,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
2AH,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
2AH,Meta: _dtb_category_key,corner,automatic_taping_tools,false
2AH,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
2AH,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=2,/schematics?brand=columbia-taping-tools&category=Angleheads&schematic=columbia-angle-head&variant=2,false
2NS,Categories,Drywall Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,false
2NS,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
2NS,Meta: _dtb_category_key,taping,automatic_taping_tools,false
2NS,Meta: _dtb_display_category_key,nail_spotters,automatic_nail_spotters,false
3.5AH,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
3.5AH,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3.5AH,Meta: _dtb_category_key,corner,automatic_taping_tools,false
3.5AH,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
3.5AH,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=3-5,/schematics?brand=columbia-taping-tools&category=Angleheads&schematic=columbia-angle-head&variant=3-5,false
3.5CSF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3.5CSF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3.5CSF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3.5CSF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3.5CSF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-combo-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-combo-flusher,false
3.5DF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3.5DF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3.5DF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3.5DF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3.5DF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-direct-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-direct-corner-flusher,false
3.5SF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3.5SF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3.5SF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3.5SF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3.5SF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-standard-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-standard-corner-flusher,false
3AH,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
3AH,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3AH,Meta: _dtb_category_key,corner,automatic_taping_tools,false
3AH,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
3AH,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head&amp;variant=3,/schematics?brand=columbia-taping-tools&category=Angleheads&schematic=columbia-angle-head&variant=3,false
3BH,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
3BH,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3BH,Meta: _dtb_category_key,handles,automatic_taping_tools,false
3BH,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
3BH,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,/schematics?brand=columbia-taping-tools&category=Handles&schematic=columbia-flat-box-handle,false
3CSF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3CSF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3CSF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3CSF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3CSF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-combo-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-combo-flusher,false
3DF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3DF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3DF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3DF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3DF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-direct-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-direct-corner-flusher,false
3NS,Categories,Drywall Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,false
3NS,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3NS,Meta: _dtb_category_key,taping,automatic_taping_tools,false
3NS,Meta: _dtb_display_category_key,nail_spotters,automatic_nail_spotters,false
3NS,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Nailspotters&amp;schematic=columbia-nailspotter&amp;variant=3,/schematics?brand=columbia-taping-tools&category=Nailspotters&schematic=columbia-nailspotter&variant=3,false
3SF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3SF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3SF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3SF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3SF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-standard-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-standard-corner-flusher,false
3WTCSF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3WTCSF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3WTCSF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3WTCSF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3WTCSF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-combo-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-combo-flusher,false
3WTDF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3WTDF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3WTDF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3WTDF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3WTDF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-direct-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-direct-corner-flusher,false
3WTSF,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
3WTSF,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
3WTSF,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
3WTSF,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
3WTSF,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Flushers&amp;schematic=columbia-standard-corner-flusher,/schematics?brand=columbia-taping-tools&category=Corner+Flushers&schematic=columbia-standard-corner-flusher,false
4-600P,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,false
4-600P,Meta: _dtb_category_key,taping,automatic_taping_tools,false
4-600P,Meta: _dtb_display_category_key,toolsets,automatic_tool_sets,false
4-602,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,false
4-602,Meta: _dtb_category_key,taping,automatic_taping_tools,false
4-602,Meta: _dtb_display_category_key,toolsets,automatic_tool_sets,false
4-630,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,false
4-630,Meta: _dtb_category_key,taping,automatic_taping_tools,false
4-630,Meta: _dtb_display_category_key,toolsets,automatic_tool_sets,false
4-677P,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Taping Tool Sets,Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,false
4-677P,Meta: _dtb_category_key,taping,automatic_taping_tools,false
4-677P,Meta: _dtb_display_category_key,toolsets,automatic_tool_sets,false
4-701,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
4-701,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
4-701,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
4-702,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
4-702,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
4-702,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
4-707,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
4-707,Meta: _dtb_category_key,corner,automatic_taping_tools,false
4-707,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
4-707,Meta: _dtb_schematic_url,/schematics?brand=level5&amp;category=Corner+Rollers&amp;schematic=level5-corner-roller-4-707,/schematics?brand=level5&category=Corner+Rollers&schematic=level5-corner-roller-4-707,false
4-711,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
4-711,Meta: _dtb_category_key,handles,automatic_taping_tools,false
4-711,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
4-712,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
4-712,Meta: _dtb_category_key,handles,automatic_taping_tools,false
4-712,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
4-714,Categories,Drywall Finishing Tools > Automatic Taping Tools > Goosenecks,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,false
4-714,Meta: _dtb_category_key,mudboxes,automatic_taping_tools,false
4-714,Meta: _dtb_display_category_key,pumps,automatic_goosenecks_box_fillers,false
4-715,Categories,Drywall Finishing Tools > Automatic Taping Tools > Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,false
4-715,Meta: _dtb_category_key,mudboxes,automatic_taping_tools,false
4-715,Meta: _dtb_display_category_key,pumps,automatic_goosenecks_box_fillers,false
4-732,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
4-732,Meta: _dtb_category_key,corner,automatic_taping_tools,false
4-732,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
4-733,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
4-733,Meta: _dtb_category_key,corner,automatic_taping_tools,false
4-733,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
4-734,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
4-734,Meta: _dtb_category_key,corner,automatic_taping_tools,false
4-734,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
4-734,Meta: _dtb_schematic_url,/schematics?brand=level5&amp;category=Corner+Finishers&amp;schematic=level5-4-734-3-5-corner-finisher,/schematics?brand=level5&category=Corner+Finishers&schematic=level5-4-734-3-5-corner-finisher,false
4-735,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
4-735,Meta: _dtb_category_key,corner,automatic_taping_tools,false
4-735,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
4-740,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
4-740,Meta: _dtb_category_key,handles,automatic_taping_tools,false
4-740,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
4-741,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
4-741,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
4-741,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
4-743,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
4-743,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
4-743,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
4-744,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
4-744,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
4-744,Meta: _dtb_display_category_key,corner_tools,semi_corner_flushers,false
4-746,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
4-746,Meta: _dtb_category_key,corner,automatic_taping_tools,false
4-746,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
4-754,Categories,Drywall Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,false
4-754,Meta: _dtb_category_key,taping,automatic_taping_tools,false
4-754,Meta: _dtb_display_category_key,nail_spotters,automatic_nail_spotters,false
4-755,Categories,Drywall Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,false
4-755,Meta: _dtb_category_key,taping,automatic_taping_tools,false
4-755,Meta: _dtb_display_category_key,nail_spotters,automatic_nail_spotters,false
4-759,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
4-759,Meta: _dtb_category_key,handles,automatic_taping_tools,false
4-759,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
4-760,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
