sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
2.5DF,"Columbia Direct Flusher - 2.5""",variation,Columbia Tools,(Uncategorized),127.62,,127.62,76.37,127.62,51.25,40.16,40.16,67.11,40.16,30.00,109.10,89.33,-12.96,0
3DF,"Columbia Direct Flusher - 3""",variation,Columbia Tools,(Uncategorized),133.02,,133.02,78.82,133.02,54.20,40.75,40.75,68.76,40.75,30.00,112.60,93.11,-14.29,0
3WTDF,"Columbia Direct Flusher - 3"" Widetrack",variation,Columbia Tools,(Uncategorized),140.60,,140.60,81.28,140.60,59.32,42.19,42.19,72.98,42.19,30.00,116.12,98.42,-17.14,0
3.5DF,"Columbia Direct Flusher - 3.5""",variation,Columbia Tools,(Uncategorized),146.00,,146.00,83.75,146.00,62.25,42.64,42.64,74.33,42.64,30.00,119.65,102.20,-18.45,0
4DF,"Columbia Direct Flusher - 4""",variation,Columbia Tools,(Uncategorized),151.41,,151.41,,151.41,,,,,,30.00,,105.99,,0
5.5FBB,"Columbia Fat Boy Flat Box - 5.5""",variation,Columbia Tools,(Uncategorized),189.95,,189.95,269.07,,-79.12,-41.65,-41.65,-29.40,,30.00,384.39,132.96,136.11,0
8FBB,"Columbia Fat Boy Flat Box - 8""",variation,Columbia Tools,(Uncategorized),443.42,,443.42,285.99,443.42,157.43,35.50,35.50,55.05,35.50,30.00,408.56,310.39,-24.40,0
10FBB,"Columbia Fat Boy Flat Box - 10""",variation,Columbia Tools,(Uncategorized),454.23,,454.23,294.51,454.23,159.72,35.16,35.16,54.23,35.16,30.00,420.73,317.96,-23.45,0
12FBB,"Columbia Fat Boy Flat Box - 12""",variation,Columbia Tools,(Uncategorized),465.05,,465.05,303.46,465.05,161.59,34.75,34.75,53.25,34.75,30.00,433.52,325.54,-22.08,0
5.5FFB,"Columbia Flat Finisher Box - 5.5""",variation,Columbia Tools,(Uncategorized),367.71,,367.71,252.99,367.71,114.72,31.20,31.20,45.35,31.20,30.00,361.42,257.40,-4.41,0
7FFB,"Columbia Flat Finisher Box - 7""",variation,Columbia Tools,(Uncategorized),378.53,,378.53,255.24,378.53,123.29,32.57,32.57,48.30,32.57,30.00,364.63,264.97,-9.73,0
