DTB Row,DTB SKU,DTB Brand,DTB Product,DTB Effective Price,DTB Price Basis,Recommended Review Status
614,PT-FIN,Platinum Drywall Tools,Platinum Drywall Starter Finishing Set,1399.00,regular_price,No Match Found
617,S1-A-1624,SurPro,"SurPro S1 Aluminum Drywall Stilts - 16""-24""",322.00,regular_price,No Match Found
618,S1-A-2030,SurPro,"SurPro S1 Aluminum Drywall Stilts - 20""-30""",331.00,regular_price,No Match Found
620,SP-S1-M,SurPro,SurPro S1 Magnesium Drywall Stilts,,missing_price,No Match Found
621,SP-S1X-A,SurPro,SurPro S1X Aluminum Drywall Stilts,,missing_price,No Match Found
622,SP-S1X-M,SurPro,SurPro S1X Magnesium Drywall Stilts,,missing_price,No Match Found
626,S1X-A-2131,SurPro,"SurPro S1X Aluminum Drywall Stilts - 21""-31""",407.00,regular_price,No Match Found
627,S1X-A-2640,SurPro,"SurPro S1X Aluminum Drywall Stilts - 26""-40""",407.00,regular_price,No Match Found
630,SP-S2-A,SurPro,SurPro S2 Aluminum Drywall Stilts,,missing_price,No Match Found
631,SP-S2-M,SurPro,SurPro S2 Magnesium Drywall Stilts,,missing_price,No Match Found
632,S2-A-1624,SurPro,"SurPro S2 Aluminum Drywall Stilts - 16""-24""",356.00,regular_price,No Match Found
633,S2-A-2030,SurPro,"SurPro S2 Aluminum Drywall Stilts - 20""-30""",365.00,regular_price,No Match Found
634,S2-A-2640,SurPro,"SurPro S2 Aluminum Drywall Stilts - 26""-40""",374.00,regular_price,No Match Found
641,SP-S2X-A,SurPro,SurPro S2X Aluminum Drywall Stilts,,missing_price,No Match Found
642,SP-S2X-M,SurPro,SurPro S2X Magnesium Drywall Stilts,,missing_price,No Match Found
643,TT-APPLICATOR-HEAD,TapeTech,TapeTech Applicator Head,,missing_price,No Match Found
645,S2X-A-3852,SurPro,"SurPro S2X Aluminum Drywall Stilts - 38""-52""",486.00,regular_price,No Match Found
646,S2X-A-2640,SurPro,"SurPro S2X Aluminum Drywall Stilts - 26""-40""",457.00,regular_price,No Match Found
651,TT-BRAKELESS-BOX-HANDLE,TapeTech,TapeTech Brakeless Box Handle,,missing_price,No Match Found
661,TT-COMBO-CORNER-FLUSHER,TapeTech,TapeTech Combo Corner Flusher,,missing_price,No Match Found
670,TT-COMPOUND-TUBE,TapeTech,TapeTech Compound Tube,,missing_price,No Match Found
671,TT-CORNER-APPLICATOR,TapeTech,TapeTech Corner Applicator,,missing_price,No Match Found
672,TT-CORNER-FINISHER,TapeTech,TapeTech Corner Finisher,,missing_price,No Match Found
681,TT-CORNER-ROLLER,TapeTech,TapeTech Corner Roller,,missing_price,No Match Found
682,TT-COVE-APPLICATOR-HEAD,TapeTech,TapeTech Cove Applicator Head,,missing_price,No Match Found
691,TT-DIRECT-CORNER-FLUSHER,TapeTech,TapeTech Direct Corner Flusher,,missing_price,No Match Found
700,TT-EASYCLEAN-FINISHING-BOX,TapeTech,TapeTech EasyClean® Finishing Box,,missing_price,No Match Found
702,TT-EASYFINISH-BOX-HANDLE,TapeTech,TapeTech EasyFinish™ Box Handle,,missing_price,No Match Found
721,TT-MAXXBOX-HIGH-CAPACITY-FINISHING-BOX,TapeTech,TapeTech MaxxBox® High Capacity Finishing Box,,missing_price,No Match Found
722,TT-NAIL-SPOTTER,TapeTech,TapeTech Nail Spotter,,missing_price,No Match Found
730,TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,TapeTech,TapeTech Power Assist® MaxxBox® Finishing Box,,missing_price,No Match Found
732,TT-SUPPORT-HANDLE,TapeTech,TapeTech Support Handle,,missing_price,No Match Found
741,TT-SUPPORT-HANDLE-ADAPTER,TapeTech,TapeTech Support Handle Adapter,,missing_price,No Match Found
742,TT-WIZARD-COMPACT-FINISHING-BOX-HANDLE,TapeTech,TapeTech Wizard® Compact Finishing Box Handle,,missing_price,No Match Found
756,,USG Sheetrock,"USG Sheetrock Magnesium, Lightweight Professional Drywall Stilts 18-30”",299.00,regular_price,No Match Found
