Canonical Brand,Legacy Compact Key,Distinct Canonical Identifiers,Raw Identifiers,Competitors,Observation Count,Disposition
Columbia Tools,tsb10,tsb-10 | tsb10,TSB-10 | TSB10,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb12,tsb-12 | tsb12,TSB-12 | TSB12,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb14,tsb-14 | tsb14,TSB-14 | TSB14,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb18,tsb-18 | tsb18,TSB-18 | TSB18,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb24,tsb-24 | tsb24,TSB-24 | TSB24,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb32,tsb-32 | tsb32,TSB-32 | TSB32,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb40,tsb-40 | tsb40,TSB-40 | TSB40,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb48,tsb-48 | tsb48,TSB-48 | TSB48,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,tsb7,tsb-7 | tsb7,TSB-7 | TSB7,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
LEVEL5,4777,4-777 | 4777,4-777 | 4777,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
LEVEL5,4817,4-817 | 4817,4-817 | 4817,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
SurPro,ss1005p,ss1005-p | ss1005p,SS1005-P | SS1005P,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
TapeTech,07ttc,07tt-c | 07ttc,07TT-C | 07TTC,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
TapeTech,501c10,501c-10 | 501c10,501C-10 | 501C10,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
TapeTech,501c7,501c-7 | 501c7,501C-7 | 501C7,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
TapeTech,ban001tt,ban001-tt | ban001tt,BAN001-TT | BAN001TT,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
TapeTech,caatt,caa-tt | caatt,CAA-TT | CAATT,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
TapeTech,cfatt,cfa-tt | cfatt,CFA-TT | CFATT,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
TapeTech,ezrollkit,ezroll-kit | ezrollkit,EZROLL-KIT | EZROLLKIT,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
TapeTech,shw016,shw-016 | shw016,SHW-016 | SHW016,Al's Taping Tools,2,quarantine_legacy_collision_only
