catalog_sku,catalog_product_name,catalog_product_type,csr_source_rows,csr_sale_price_usd,old_sale_price,new_sale_price,old_regular_price,new_regular_price,status,applied_at
CT77,Drive Sprocket - Large,variation,1,65.00,75.3,65.00,82.83,71.50,UPDATED,2026-09-17T09:17:51Z
CT78,Drive Chain,simple,1,65.00,99.4,65.00,109.34,71.50,UPDATED,2026-09-17T09:17:51Z
CT79,Hollow Shaft,simple,1,39.00,45.18,39.00,49.70,42.90,UPDATED,2026-09-17T09:17:51Z
CT7A,Side Plate Hub,simple,1,13.00,14.62,13.00,16.08,14.30,UPDATED,2026-09-17T09:17:51Z
CT80,Manual Drive Grip,simple,1,39.00,43.84,39.00,48.22,42.90,UPDATED,2026-09-17T09:17:51Z
CT81,Clutch Return Spring,simple,1,3.00,3.68,3.00,4.05,3.30,UPDATED,2026-09-17T09:17:51Z
CT82,Clutch Lever,simple,1,26.00,30.12,26.00,33.13,28.60,UPDATED,2026-09-17T09:17:51Z
CT83,Clutch Dog,simple,1,3.00,4.7,3.00,5.17,3.30,UPDATED,2026-09-17T09:17:51Z
CT85,Clutch Release Shaft,simple,1,39.00,45.18,39.00,49.70,42.90,UPDATED,2026-09-17T09:17:51Z
CT86,CT86 – Toe Kicker Cable,simple,1,18.00,22.6,18.00,24.86,19.80,UPDATED,2026-09-17T09:17:51Z
CT87A,Bracket Brace,simple,1,9.00,10.98,9.00,12.08,9.90,UPDATED,2026-09-17T09:17:51Z
CT88,Clutch Release Rod,simple,1,16.00,18.1,16.00,19.91,17.60,UPDATED,2026-09-17T09:17:51Z
CT89,Release Rod Sleeve,simple,1,16.00,18.1,16.00,19.91,17.60,UPDATED,2026-09-17T09:17:51Z
CT90,Rod Sleeve Housing,simple,1,33.00,30.1,33.00,33.11,36.30,UPDATED,2026-09-17T09:17:51Z
CT92,Release Clip Bushing,simple,1,10.00,12.08,10.00,13.29,11.00,UPDATED,2026-09-17T09:17:51Z
CT92A,Toe Kicker Caple Retainer Clip,simple,1,4.00,3.78,4.00,4.16,4.40,UPDATED,2026-09-17T09:17:51Z
CT96,Mud Shut-Off Gasket,simple,1,4.00,3.28,4.00,3.61,4.40,UPDATED,2026-09-17T09:17:51Z
CT97,Mud Supply Valve Body,simple,1,26.00,30.14,26.00,33.15,28.60,UPDATED,2026-09-17T09:17:51Z
CT98,Mud Supply Seal Plate & Shaft,simple,1,6.00,7.53,6.00,8.28,6.60,UPDATED,2026-09-17T09:17:51Z
FA199,"2-56 x 3/16"" Binder Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA200,"1/16 x 1/4"" Split Pin",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
