catalog_sku,catalog_product_name,catalog_product_type,old_regular_price,old_sale_price,new_regular_price,new_sale_price,status,applied_at
HNS10,Door Spring - Long,variation,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT71,Drive Sprocket - Small,variation,16.50,15.00,15.00,15.00,UPDATED,2026-09-17T09:20:20Z
CT77,Drive Sprocket - Large,variation,71.50,65.00,65.00,65.00,UPDATED,2026-09-17T09:20:20Z
CFB15,Door Hinge,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
FFB17,Door Spring,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
FFB16,Door Spring Nut,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CFB11A,Door Stop,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FFB32,Door Stop,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT78,Drive Chain,simple,71.50,65.00,65.00,65.00,UPDATED,2026-09-17T09:20:20Z
AH7,Frame Tension Spring,variable,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT70,Drive Shaft,simple,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
CT87,Engraved Cover Plate Cap,simple,46.20,42.00,42.00,42.00,UPDATED,2026-09-17T09:20:20Z
HH5,Extension Housing,simple,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
HH30,Extension Release Trigger,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
CT130,Extension Shaft,simple,25.30,23.00,23.00,23.00,UPDATED,2026-09-17T09:20:20Z
AH7-2,"Frame Tension Spring - 2""",variation,2.09,1.9,1.9,1.9,UPDATED,2026-09-17T09:20:20Z
AH7-2.5,"Frame Tension Spring - 2.5""",variation,2.09,1.9,1.9,1.9,UPDATED,2026-09-17T09:20:20Z
AH7-3,"Frame Tension Spring - 3""",variation,2.09,1.9,1.9,1.9,UPDATED,2026-09-17T09:20:20Z
AH7-3.5,"Frame Tension Spring - 3.5""",variation,2.09,1.9,1.9,1.9,UPDATED,2026-09-17T09:20:20Z
CT127,Extension Shaft Bracket,simple,35.20,32.00,32.00,32.00,UPDATED,2026-09-17T09:20:20Z
MP33,Filler Gasket,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
MP28,Filler Nut,simple,9.90,9.00,9.00,9.00,UPDATED,2026-09-17T09:20:20Z
MP25,Filler Studs,simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
MP2,Foot Valve Casting,simple,31.90,29.00,29.00,29.00,UPDATED,2026-09-17T09:20:20Z
AH5,Frame Retainer Clip,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
AH6A,Funnel Retainer Clip,simple,20.90,19.00,19.00,19.00,UPDATED,2026-09-17T09:20:20Z
MH21,Grip Adjuster Housing,simple,9.90,9.00,9.00,9.00,UPDATED,2026-09-17T09:20:20Z
MH23,Grip Adjusting Fastener,simple,12.10,11.00,11.00,11.00,UPDATED,2026-09-17T09:20:20Z
MH22,Grip Adjustment Pin,simple,12.10,11.00,11.00,11.00,UPDATED,2026-09-17T09:20:20Z
HH15,Grip Sleeve Octagon,simple,16.50,15.00,15.00,15.00,UPDATED,2026-09-17T09:20:20Z
