Brand,Product Name,SKU,Product Price,Product Description,Matched DTB Brand,DTB Brand Match Method,DTB Brand Match Confidence
,"Columbia 3.5"" Pointing Joint Knife",PJK3.5,12.92,Columbia 3.5 Inch Pointing Knife,Columbia Tools,title_brand_pattern,0.90
,"Columbia 4"" PUTTY KNIFE",NPK4,12.92,Columbia 4 Inch Joint/Putty Knife,Columbia Tools,title_brand_pattern,0.90
,"Columbia 5"" PUTTY KNIFE",NPK5,15,"Columbia 5"" Joint/Putty Knife",Columbia Tools,title_brand_pattern,0.90
,"Columbia 6"" CLIPPED JOINT KNIFE",CJK6,16.25,Columbia 6 Inch Clipped Knife,Columbia Tools,title_brand_pattern,0.90
,"Columbia 6"" PUTTY KNIFE",NPK6,16.67,Columbia 6 Ince Joint/Putty Knife,Columbia Tools,title_brand_pattern,0.90
,"Columbia 60"" 180-Grip Bent Flat Box Handle",5bbh,243.34,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,"Columbia 72"" 180-Grip Bent Flat Box Handle",6BBH,254.15,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,"COLUMBIA 8"" INSIDE TRACK FAT BOY BOX",8ITFB,443.42,"COLUMBIA 8"" INSIDE TRACK FLAT BOX",Columbia Tools,title_brand_pattern,0.90
,"Columbia 8"" PUTTY KNIFE",NPK8,17.5,Columbia 8 Inch Joint/Putty Knife,Columbia Tools,title_brand_pattern,0.90
,Columbia 9 IN 1 MULTI TOOL,9-1MT,12.92,Columbia 9 in 1 Multi Tool,Columbia Tools,title_brand_pattern,0.90
,Columbia Black Banjo,bb,139,Right Or Left Handed banjo,Columbia Tools,title_brand_pattern,0.90
,"Columbia Comfort Grip Putty Knives 3 Pack (4,5+6"")",JKBP,39.98,"4,5,6"" COMFORT GRIP PUTTY KNIVES",Columbia Tools,title_brand_pattern,0.90
,Columbia Cover Plate Assembly for Predator,CTTCPTA87CL,218.99,Columbia Cover Plate Assembly for Predator,Columbia Tools,title_brand_pattern,0.90
,"Columbia Drywall Tools 10"" and 12"" Flat Box Drywall Flat Finishing Set",152901651540,1380,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,Columbia Drywall Tools Semi-Automatic Drywall Starter Set,153396431755,2030,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,"Columbia Flat Box Door Gasket 7"" - FFB14-7",FFB14-7,41.76,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,Columbia Mud Pump Maintenacne Kit,MPR-1,37.99,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,Columbia Nylatron Bushing (COLM-HFFB4D),HFFB4D,2.04,Columbia Nylatron Bushing,Columbia Tools,exact_sku_in_official_catalog,1.00
,"Columbia One Predator Taper 39"" ""Sawed Off""",C1SPTAPER,1838.55,"Columbia One Predator Taper 39"" ""Sawed Off""",Columbia Tools,title_brand_pattern,0.90
,"Columbia One Predator Taper 53"" Standard",C1PTAPER,1838.55,Columbia One Predator Taper,Columbia Tools,title_brand_pattern,0.90
,"Columbia One Predator Taper 77"" Tall Boy",C1TBPTAPER,1968.02,"Columbia One Tall Boy Predator Taper 77""",Columbia Tools,title_brand_pattern,0.90
,Columbia One Predator Taper Body,C1PBODY,389.55,Columbia One Predator Taper Body (Standard Length),Columbia Tools,title_brand_pattern,0.90
,Columbia One Predator Taper Head Only,C1PHEAD,1449,Columbia One Predator Taper,Columbia Tools,title_brand_pattern,0.90
,Columbia One Sawed Off Predator Taper Body,C1SPBODY,389.55,Columbia One Predator Taper Body (Sawed Off),Columbia Tools,title_brand_pattern,0.90
,Columbia One Tall Boy Predator Taper Body,C1TBBODY,519.02,Columbia One Predator Taper Body (Tall Boy),Columbia Tools,title_brand_pattern,0.90
,"Columbia PREDATOR ""Sawed Off"" Mini Carbon Fiber Automatic Taper",SPTAPER,1838.55,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,Columbia Predator Mud Pump,PHMP,496.42,Columbia Predator Mud Pump,Columbia Tools,exact_sku_in_official_catalog,1.00
,Columbia Predator One Carbon Fiber Handle,PC1H,95.79,Columbia Predator One Carbon Fiber Handle,Columbia Tools,exact_sku_in_official_catalog,1.00
,Columbia Predator One Extendable Carbon Fiber Handle (3-5'),PC1HEXT,160.27,Columbia Predator One Extendable Carbon Fiber Handle (3-5'),Columbia Tools,exact_sku_in_official_catalog,1.00
,Columbia Pro Full Set,C-PFULL,4592.25,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,Columbia Promo #3,ColKitPromo3,560.97,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,Columbia Promo#1 Kit- colknifekit,colknifekit,150,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 10""",SSB10,29.99,"COLUMBIA SABRE SMOOTHING BLADE 10""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 12""",SSB12,31.99,"COLUMBIA SABRE SMOOTHING BLADE 12""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 14""",SSB14,32.99,"SABRE SMOOTHING BLADE 14""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 16""",SSB16,38.99,"SABRE SMOOTHING BLADE 16""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 18""",SSB18,44.99,"SABRE SMOOTHING BLADE 18""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 24""",SSB24,59.99,"SABRE SMOOTHING BLADE 24""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 32""",SSB32,74.99,"SABRE SMOOTHING BLADE 32""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 40""",SSB40,99.99,"SABRE SMOOTHING BLADE 40""",Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 48""",SSB48,129.99,COLUMBIA SABRE SMOOTHING BLADE 48 INCH,Columbia Tools,title_brand_pattern,0.90
,"Columbia Sabre Smoothing Blade 7""",ssb7,19.99,"Columbia SABRE SMOOTHING BLADE 7""",Columbia Tools,title_brand_pattern,0.90
,Columbia Taping Tools Drywall Outside Corner Bead Roller,S9-9UPQ-2CZX,135,Columbia Taping Tools Drywall Outside Corner Bead Roller - S9-9UPQ-2CZX,Columbia Tools,title_brand_pattern,0.90
,Columbia Taping Tools Pro Extendable Finishing Set,C-PFS,2976.06,Columbia Taping Tools Pro Extendable Finishing Set,Columbia Tools,title_brand_pattern,0.90
,Columbia Throttle Tube,TT,849,"Columbia ThrottleTube: carbon fiber corner applicator with twist-grip flow control, level indicator, and large capacity.",Columbia Tools,title_brand_pattern,0.90
,Columbia Tomalock Smoothing Blade Adaptor Tomahawk Handle,CLTHA,86.52,"Columbia Tomalock Adaptor The Columbia Tomalock is a handle adapter used with the Tomahawk set of Smoothing Blades. With no plastic pieces, the Tomalock doesn't snap under pressure or the weight of the larger blades. This also increases stability. The qui",Columbia Tools,title_brand_pattern,0.90
,Level5 Corner Roller Handle,4-777,45,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,LEVEL5,exact_sku_in_official_catalog,1.00
,"Platinum Drywall Tools 10"" Flat Box",PT-10FB,120,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Platinum Drywall Tools,exact_sku_in_official_catalog,1.00
,"Platinum Drywall Tools 14"" Flat Box",PT-14FB,130,"Platinum Drywall Tools 14"" Flat Box The Platinum Flat Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Platinum Finishing Box helps produce professional result",Platinum Drywall Tools,exact_sku_in_official_catalog,1.00
,Sur-Pro Stilt Strap Kit ( Fits all Surpro Single-Sided Stilts),SS1002-B,33.75,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,SurPro,title_brand_pattern,0.90
,"Surpro 26-40"" S1 Aluminum Single Sided Drywall Stilts",S1-A-2640,305,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,SurPro,exact_sku_in_official_catalog,1.00
,"SurPro S1X Single Sided Magnesium 21""-31"" Drywall Stilts",S1X-M-2030,400,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,SurPro,title_brand_pattern,0.90
,Taper Mud Supply Valve Body 054059F - CT97,CT97,33.45,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,Columbia Tools,exact_sku_in_official_catalog,1.00
,"TapeTech 10"" Drywall Finishing Flat Box w/Wizard Compact Handle",153790804343,555,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 12"" Drywall Finishing Flat Box w/Wizard Compact Handle",174150901471,560,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 12"" Premium Smoothing Wipe Down Blade",PFK12TT,41,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 12"" Replacement Blades for PFK12TT Skimming Knife",PFB12,37,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 14"" Replacement Blades for PFK14TT Skimming Knife",PFB14,42,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 18"" Replacement Blades for PFK18TT Skimming Knife",PFB18,48,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 2"" Wiper For Nailspotter - 630015",631015,76.08,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 24"" Replacement Blades for PFK24TT Skimming Knife",PFB24,58,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 3"" EasyClean Nail/Screw Spotter",NS03TT,289,"The TapeTech's 3"" drywall nail spotter or screw spotter, quickly fills the screw holes left behind with drywall mud. Buy from Al's Taping Tools today!",TapeTech,exact_sku_in_official_catalog,1.00
,"TapeTech 3"" Wiper For Nailspotter - 680015",681015,100.59,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 32"" Replacement Blades for PFK32TT Skimming Knife",PFB32,79,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 4-40 Tie Rod- 7"" - 200040",200040F,39.84,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 40"" Replacement Blades for PFK40TT Skimming Knife",PFB40,95,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,"TapeTech 66"" Continuous Flow Corner Finisher Handle",CFH66TT,690,"TapeTech Bazooka CFS 60"" Corner Finisher Handle The Bazooka Continuous Flow Corner Finisher Handles connect to standard TapeTech Corner Finishers to help you finish internal corners (angles) with remarkable speed and quality. The handles can also attach t",TapeTech,title_brand_pattern,0.90
,"TapeTech 8"" Corner Box w/ TapeTech Extendable Corner Applicator Handle",201608510085,449,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,TapeTech Brakeless Extendable Flat Box Handle,BHE,299,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,exact_sku_in_official_catalog,1.00
,"TapeTech Closet Crusher 18"" Support Handle",FHTT-CC,50,"TapeTech Closet Crusher 18"" Support Handle",TapeTech,exact_sku_in_official_catalog,1.00
,"TapeTech Corner Roller and Handles (TAPE-15TTE, FHTT, XHTT)",CR,248,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more.",Columbia Tools,exact_sku_in_official_catalog,1.00
,TapeTech Dial Post - 200713,200713,14.14,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,TapeTech Easy Clean  Automatic Taper,07TT,1599,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,exact_sku_in_official_catalog,1.00
,"TapeTech Easy Roll Adjustable Angle Head / Corner Finisher (TAPE-48TT, 48XTT)",48X,429,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more.",TapeTech,title_brand_pattern,0.90
,TapeTech Finishing Knife Handle Adapter - PFKHATT,PFKHATT,27,TapeTech Finishing Knife Handle Adapter - PFKHATT TapeTech Premium Finishing Knife Handle Adapter PFKHATT The TapeTech Premium Finishing Knife Handle adapter is more rugged and delivers quick angle adjustment. The Handle Adapter securely attaches to the,TapeTech,title_brand_pattern,0.90
,TapeTech High Visibility Hooded Sweatshirt - XL,PWW-HV-HS-3,49.99,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,TapeTech Inside Corner Trowel Set - 4 Piece,VINSET4,65.0,"TapeTech Inside Corner Trowel Set - 4 Piece VINSET4 Improve the quality and performance of your finishing tasks with the TapeTech Inside Corner Trowel Set, which was meticulously handcrafted in Italy. This set of stainless-steel trowels is ideal for completing 90-degree corners - made with precision and durability in mind. Ergonomic soft grip handles reduce strain and provide optimal comfort for prolonged use. This set contains: TapeTech 3"" x 1"" Mini Inside Corner Trowel VIN8025 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel VIN4030 TapeTech 4.3"" x 3"" Inside Corner Trowel VIN11075 TapeTech 3"" x 2.4"" Inside Corner Trowel VIN8060. This set contains: TapeTech 4.3"" x 3"" Inside Corner Trowel VIN11075 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel VIN4030 TapeTech 3"" x 1"" Mini Inside Corner Trowel VIN8025 TapeTech 3"" x 2.4"" Inside Corner Trowel VIN8060",TapeTech,title_brand_pattern,0.90
,TapeTech Mud Dog Banjo,BAN001-TT,119,TapeTech Mud Dog Banjo,TapeTech,title_brand_pattern,0.90
,"TapeTech Pressure Plate, 12"" CFS - 303027B",303027B,165.63,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,TapeTech ProMAXX Blue Steel Full Taping Knife Set with Mud Pan,TTPROMAXX,199,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,TapeTech Repair Washer - 159014,159014,1.08,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,TapeTech Z Swivel Attachment for CF Hose 24D166,24D166,475,"TapeTech Z Swivel Attachment for CF Hose 24D166 The Z-Swivel attachment connects the Bazooka Continuous Flow Taper, Finishing Box Handles and Corner Finisher Handles to the whip hose to provide kink-free operation and optimal maneuverability.",TapeTech,title_brand_pattern,0.90
,TapeTech/Ames  CFS Tool Cleaning Coupling,CFSTCC,31.5,"TapeTech/Ames CFS Tool Cleaning Coupling With the CFS tool cleaning coupling, you can clean the entire length of the Bazooka® continuous flow taper, as well as finish box and corner finisher handles. The coupling (with article 800826) is used together wi",TapeTech,title_brand_pattern,0.90
,"TapeTech® Drywall Taping Tools Pro Full Set w/  2 Heads, 2 Pumps & Nail Spotter",155733711450,6199,TapeTech Drywall Taping Tools Pro Full Set,TapeTech,title_brand_pattern,0.90
,TapeTech™ Bazooka Oil (8oz),056707,18.51,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,TapeTech,title_brand_pattern,0.90
,USG Sheetrock Classic Blue Steel Premium Set,USGBSPREM,175,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,USG Sheetrock Tools,title_brand_pattern,0.90
,"USG Sheetrock Classic SS Premium Set 4,5,6,8,10,12,14"" knives, pan, mixer, saw",USGPREM,225,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,USG Sheetrock Tools,title_brand_pattern,0.90
,USG Sheetrock Paper-Face Corner Bead Install & Finish Kit w/ Hopper & 90 degree Roller,USGKIT1,269,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,USG Sheetrock Tools,title_brand_pattern,0.90
,USG SHEETROCK POLE SANDER HEAD,340900-NP,56.98,usg sanding head,USG Sheetrock Tools,title_brand_pattern,0.90
,"USG Sheetrock Professional Drywall Taping Knives (6,8,10,12"") Set",USG681012SET,59,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,USG Sheetrock Tools,title_brand_pattern,0.90
,"USG Sheetrock Professional Drywall Taping Knives (6,8,10,12"") Set w/ 12"" USG Pan & Mud Pan Grip",usgknives,99.99,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.,USG Sheetrock Tools,title_brand_pattern,0.90
Ames,"TapeTech / Ames Continuous Flow 10"" Finishing Box - CF10H",CF10H,650,"The TapeTech 10"" Continuous Flow Finishing Box connects to the TapeTech Continuous Flow System. Learn more about this TapeTech product from Al's Taping Tools.",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech / Ames Continuous Flow 12"" Finishing Box - CF12H",CF12H,750,"TapeTech / Ames Continuous Flow 12"" Finishing Box CF12H is designed with the same look and feel as the standard TapeTech EasyClean™ finishing box. It connects to the TapeTech Continuous Flow System.",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech / Ames Continuous Flow 7"" Finishing Box - CF07H",CF07H,615,"The TapeTech/ Ames Continuous Flow 7"" Finishing Box is one of the best finishing boxes on the market. Learn more about this finishing box from Al's Taping Tools!",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech 34"" Continuous Flow Finishing Box Handle",CFS8034TT,750,"TapeTech / Ames Bazooka Continuous Flow 34"" Box Handle The Bazooka Continuous Flow Finishing Box Handles feature the most ergonomic size and shape handle and are up to 40% lighter than previous generations. The tool-less connection to TapeTech continuous",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech 40"" Continuous Flow Corner Finisher Handle",CFH40TT,650,TapeTech Bazooka Continuous Flow Corner Finisher Handles connect to standard TapeTech Corner Finishers to help you finish internal corners. Learn more!,TapeTech,title_brand_pattern,0.90
Ames,"TapeTech 47"" Continuous Flow Finishing Box Handle",CFS8047TT,780,"TapeTech / Ames Bazooka Continuous Flow 47"" Box Handle The Bazooka Continuous Flow Finishing Box Handles feature the most ergonomic size and shape handle and are up to 40% lighter than previous generations. The tool-less connection to TapeTech continuous",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech 60"" Continuous Flow Finishing Box Handle",CFS8060TT,800,"TapeTech / Ames Bazooka Continuous Flow 60"" Box Handle The Bazooka Continuous Flow Finishing Box Handles feature the most ergonomic size and shape handle and are up to 40% lighter than previous generations. The tool-less connection to TapeTech continuous",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech 7"" Continuous Flow Flat Box CF07H",CF07H,545.0,"The TapeTech 7"" Continuous Flow Flat Box CF07H is designed with the same look and feel as the standard TapeTech EasyClean™ finishing box. It connects quickly and securely to the TapeTech Continuous Flow box handles to create a high production solution for finishing drywall. Features: Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Note:This is designed to work with the TapeTech Continuous Flow Drywall system and will not work with standard Flat Box Handles. Handles are sold seperately.",TapeTech,title_brand_pattern,0.90
Ames,"TapeTech 72"" Continuous Flow Finishing Box Handle",CFS8072TT,820,"TapeTech / Ames Bazooka Continuous Flow 72"" Box Handle The Bazooka Continuous Flow Finishing Box Handles feature the most ergonomic size and shape handle and are up to 40% lighter than previous generations. The tool-less connection to TapeTech continuous",TapeTech,title_brand_pattern,0.90
Ames,TapeTech Bazooka Continuous Flow Full Set Bundle,CFS-FULL,23683,"This is the complete Ames / TapeTech Continuous Flow set including pump, taper, finishing boxes plus standard TapeTech corner finishers and corner roller.",TapeTech,title_brand_pattern,0.90
Ames,TapeTech Continuous Flow Bazooka Pump,CTPMP,13400,Tape Tech Continuous Flow Pump Unit the pump is the heart of the continuous flow system. Learn more about this great TapeTech product from Al's Taping Tools.,TapeTech,title_brand_pattern,0.90
Ames,TapeTech Continuous Flow Finishing Bundle CFSFINISH,12419,18459.0,"TapeTech Continuous Flow Finishing Bundle CFSFINISH TapeTech BAZOOKA ™ Continuous Flow Drywall Tools are the most productive taping tools available. Developed with a cooperation between industry giants - TapeTech and Graco, the Continuous Flow System is revolutionizing drywall finishing today. The BAZOOKA™ CFS pump supplies a continuous flow of joint compound to the, flat boxes, and corner finishing tools. Increase speed, productivity, work safety, and ergonomics by Never Filling Up Again! Achieve maximum time on the wall with the BAZOOKA™ Continuous Flow System. No more repetitive trips to the pump required to fill tools, and no more difficulties moving compound buckets around the jobsite for finishers. Connect your tools and workers to the BAZOOKA™ Continuous Flow System, and eliminate wasted time - Increase your profits on every job! How It Works The Bazooka CFS is powered by a Graco Endurance™ Pump that delivers 1.5 GPM and features the Advantage Drive™ System with long lasting hardened steel gears. The onboard 25 gallon hopper includes an air tight lid that preserves compound overnight, and also acts as a portable wash station. The really cool feature of the BAZOOKA™ Continuous Flow System - Is the FLOW! The Flow Control is based on radio frequency (RF) technology, and controls the Graco pump from the tool handle - Without Wires! The (RF) eliminates the burping and pressure builds that plague competitive units, and have the added bonus of being speed controlled inline, instead of exclusively at the pump. The Tools TapeTech BAZOOKA™ CFS drywall tools are designed to be the lightest and most ergonomic tools available. The flat finisher boxes have been re-engineered to reduce weight, and the teardrop box handle is easier to grip. Continuous application of finish coats with user controlled output reduces strain, and maximizes finish quality. BAZOOKA™ Continuous Flow Finishing Bundle Includes: Graco Continuous Flow Pump 50' Material Hose Set Continuous Flow Taper & Corner Finisher Flow Controller Continuous Flow 10"" Flat Box Continuous Flow 12"" Flat Box Continuous Flow 34"" Flat Box Handle Continuous Flow 60"" Flat Box Handle Continuous Flow Box Controller Continuous Flow 42"" Corner Finisher Handle 3"" EasyRoll™ Corner Finisher",TapeTech,title_brand_pattern,0.90
