universal_part_key,canonical_name,part_type,confidence,brand_count,brands,occurrence_count,catalog_skus,schematic_ids,example_titles,materials_seen,source_files
screw 6-32 x 1/2 fillister head,screw 6-32 x 1/2 fillister head,screw,high,5,Asgard; Columbia; Level5; Platinum; TapeTech,26,FA245; 059091,columbia-angle-head-sch; tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-40tt-sch; tapetech-90-inside-corner-edger-tapetech-42tt-sch; tapetech-90-inside-corner-edger-tapetech-45tt-sch; tapetech-90-inside-corner-edger-tapetech-48tt-sch; asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch; asgard-angle-head-3-ah30-ad-sch; asgard-angle-head-3-5-ah35-ad-sch; level5-4-734-3-5-corner-finisher; platinum-corner-finisher,"6 - 32 X 1/2"" Fillister Slot; 6-32 X 1/2"" Fillister Head Sst Screw; 6-32 X 1/2"" Fill. Head Screw (FA245); Screw 6-32 X 1/2 Slotted Fil. Hd., S.S.; 6-32 X 1/2 FILLISTER HEAD SCREW SST; 059091 - 6-32 X 1/2 Fill. Hd Screw; 6-32 x 1/2 FillisterHeadScrew",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\Angleheads\AngleHead\schematic_data.json; frontend\public\brands\Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\schematic_data.json; frontend\public\brands\Platinum\Schematics\CornerFinishers\CornerFinisher\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\42TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\48TT\schematic_data.json
screw 6-32 x 1/4 binder head,screw 6-32 x 1/4 binder head,screw,high,4,Asgard; Columbia; Level5; TapeTech,48,FA239,columbia-angle-head-sch; columbia-cam-lock-tube-sch; columbia-compound-tube-sch; columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; columbia-semi-automatic-taper-sat-sch; tapetech-90-inside-corner-edger-tapetech-17tt-sch; tapetech-corner-applicator-sch; tapetech-90-inside-corner-edger-tapetech-40tt-sch; tapetech-90-inside-corner-edger-tapetech-42tt-sch; tapetech-90-inside-corner-edger-tapetech-45tt-sch; tapetech-90-inside-corner-edger-tapetech-48tt-sch; tapetech-corner-applicator-sch-2; tapetech-easyclean-nail-spotter-sch; tapetech-easyclean-nail-spotter-sch-2; asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch; asgard-angle-head-3-ah30-ad-sch; asgard-angle-head-3-5-ah35-ad-sch; asgard-ca08-ad-applicator-box-head-sch; asgard-brakeless-box-handle-34-bbh-ad-sch; asgard-nail-spotter-head-only-ns03-ad-sch; ... +2,"6 - 32 X 1/4"" Binder Slot; 6-32 x ¼"" Binder Slot (FA239); Screw: 6-32 X 1/4 Bind Hd.; 6-32 X 1/4 BIND HEAD SCREW SST; 359005 - 6-32 X 1/4 Bind Hd Screw; TapeTech 6-32 X 1/4 Bind Hd Screw (359005); CF 6-32 X 1/4 Bind Head Screw SST",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Handles\BBH-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Spotters\NS03-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\Angleheads\AngleHead\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json; frontend\public\brands\Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\schematic_data.json; frontend\public\brands\TapeTech\Schematics\17TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\42TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\48TT\schematic_data.json
screw 6-32 x 1/4 fillister head,screw 6-32 x 1/4 fillister head,screw,medium,4,Asgard; Level5; Platinum; TapeTech,38,,tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-20ttx-sch; tapetech-90-inside-corner-edger-tapetech-25ttx-sch; tapetech-90-inside-corner-edger-tapetech-30ttx-sch; asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; level5-10-inch-flat-box-4-765; level5-10-inch-mega-flat-box-4-768; level5-12-inch-flat-box-4-766; level5-12-inch-mega-box-4-769; level5-14-inch-flat-box-4-770; level5-7-inch-flat-box-4-764; level5-7-inch-mega-flat-box-4-767; platinum-flat-box; 1777935057956; ... +4,Screw 6-32 X 1/4 Fil. Hd. S.S.; #6-32 x 1/4 Fillister Head Screw; 6-32 X 1/4 Fillister Hd Screw - 059015; #6-32 x 1/4 Fillister Head,stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Platinum\Schematics\FinishingBoxes\FlatBox\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 6-32 x 1/4 pan head,screw 6-32 x 1/4 pan head,screw,high,3,Asgard; Columbia; TapeTech,7,FA27A; 889035,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; asgard-xh-ad-extension-support-handle-43-76-sch,6 - 32 x 1/4 Pan Head Screw; 6-32 x 1/4 Pan Head Screw; 6-32 x 1/4 Pan Head Screw (FA27A); 889035 - 6-32 X 1/4 Pan Head Screw,,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\Handles\XH-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json
screw 6-32 x 3/16 fillister head,screw 6-32 x 3/16 fillister head,screw,high,4,Asgard; Columbia; Level5; TapeTech,45,FA238,columbia-automatic-flat-finishing-box-sch; columbia-throttle-box-sch; columbia-fat-boy-finishing-box-sch; columbia-flat-finishing-box-sch; columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; columbia-semi-automatic-taper-sat-sch; tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-corner-applicator-sch; tapetech-corner-applicator-sch-2; asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; level5-7377-cover-plate-assembly-old-style; level5-7293-gooser-assembly; 1777935057956; 1777935057957; 1777936233843; 1777936233844; ... +1,"6 - 32 X 3/16"" Fillister Slot; 6-32 x 3/16"" Fillister Slot (FA238); Screw 6-32 X 3/16 Fil. Hd. S.S; 6-32 X 3/16 FILLISTER HEAD SCREW SST; 059051 - 6-32 X 3/16 Fillister Screw; 6-32X3/16 Fillister Head Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json; frontend\public\brands\Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\schematic_data.json; frontend\public\brands\Level5\Schematics\AutomaticTapers\Gooser-Assembly\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 6-32 x 3/4 flat head,screw 6-32 x 3/4 flat head,screw,medium,2,Asgard; TapeTech,6,,asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; 1777936233843; 1777936233844; 1777936233845,"219093 - 6-32 X 3/4"" Flat Head Screw; 6-32 X 3/4 Fl Hd Slotted Sst",stainless,frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 6-32 x 3/8 binder head,screw 6-32 x 3/8 binder head,screw,high,4,Asgard; Columbia; Level5; TapeTech,68,FA241,columbia-automatic-flat-finishing-box-sch; columbia-throttle-box-sch; columbia-fat-boy-finishing-box-sch; columbia-flat-finishing-box-sch; columbia-nail-spotter-sch; columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-tapetech-lock-block-for-07tt-050212f-sch; asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch; level5-7377-cover-plate-assembly-old-style; 1777935057956; 1777935057957; 1777936233843; 1777936233844; 1777936233845,"6 - 32 X 3/8"" Binder Slot; 6-32 x 3/8"" Binder Slot (FA241); Screw 6-32 X 3/8 Bind Hd.; 6-32 X 3/8 Bind Hd Screw - 059020; 6-32 x 3/8 Bind Head Screw",,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Handles\BBHE-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json; frontend\public\brands\Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json; frontend\public\brands\Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 6-32 x 3/8 fillister head,screw 6-32 x 3/8 fillister head,screw,medium,2,Asgard; TapeTech,20,,tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-20ttx-sch; tapetech-90-inside-corner-edger-tapetech-25ttx-sch; tapetech-90-inside-corner-edger-tapetech-30ttx-sch; tapetech-corner-applicator-sch; tapetech-corner-applicator-sch-2; tapetech-easyclean-nail-spotter-sch; tapetech-easyclean-nail-spotter-sch-2; tapetech-flat-box-handle-sch; asgard-ca08-ad-applicator-box-head-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; 1777935057955; 1777936233843; 1777936233844; 1777936233845,Screw 6-32 X 3/8 Fil. Hd. S.S.; #6-32 x 3/8 Fillister Head Screw; 6-32 X 3/8 FILLISTER SCREW SST; 6-32 X 3/8 Fillister Hd  - 059012,stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\81XXTT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 6-32 x 5/8 socket head,screw 6-32 x 5/8 socket head,screw,medium,2,Asgard; Columbia,4,,columbia-matrix-box-handle-matrixboxhandle-lever-sch; asgard-angle-head-3-ah30-ad-sch,6-32 x 5/8 Socket Head Screw (FA376); 489029 - 6-32 X 5/8 Socket Hd Screw,,products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json
screw 8-32 x 1/4 fillister head,screw 8-32 x 1/4 fillister head,screw,high,2,Columbia; TapeTech,9,FA257,columbia-180-grip-flat-box-handle-sch; tapetech-tapetech-lock-block-for-07tt-050212f-sch,"8 - 32 X 1/4"" Fillister Slot; 8-32 x ¼"" Fillister Slot (FA257); Screw 8-32 X 1/4 Fil. Hd. S.S",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\Handles\FlatBoxHandle\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
screw 8-32 x 3/16,screw 8-32 x 3/16,screw,medium,2,Columbia; Level5,25,,columbia-standard-flusher-sch; columbia-cam-lock-tube-sch; columbia-compound-tube-sch; columbia-one-handle-4-8-long-extendible-chxl-sch; columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch; columbia-mud-pump-sch; level5-compound-pump-4-771,"8-32 x 3/16"" Pan Slot SS Screw (FA256); 8-32 x 3/16 BH Screw",stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerFlushers\StandardCornerFlusher\schematic_data.json; frontend\public\brands\Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json; frontend\public\brands\Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json; frontend\public\brands\Columbia\Schematics\Pumps\MudPump\schematic_data.json; frontend\public\brands\Level5\Schematics\Pumps\Compound-Pump\schematic_data.json
screw 8-32 x 3/8,screw 8-32 x 3/8,screw,high,4,Columbia; Level5; Platinum; TapeTech,13,FA261,tapetech-flat-box-handle-sch; level5-10-inch-flat-box-4-765; level5-10-inch-mega-flat-box-4-768; level5-12-inch-flat-box-4-766; level5-12-inch-mega-box-4-769; level5-14-inch-flat-box-4-770; level5-7-inch-flat-box-4-764; level5-7-inch-mega-flat-box-4-767; platinum-flat-box; 1777935057955,"8 - 32 X 3/8"" Socket Screw; 8-32 X 3/8 Hex Socket Capscrew 18-8 S.S.; 8-32 X 3/8, BHC Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Platinum\Schematics\FinishingBoxes\FlatBox\schematic_data.json; frontend\public\brands\TapeTech\Schematics\81XXTT\schematic_data.json
screw 8-32 x 3/8 binder head,screw 8-32 x 3/8 binder head,screw,medium,2,Asgard; TapeTech,4,,tapetech-easyclean-nail-spotter-sch; tapetech-easyclean-nail-spotter-sch-2; asgard-loading-pump-lp01-ad-sch; asgard-nail-spotter-head-only-ns03-ad-sch,8-32X3/8 BIND HEAD SCREW; 729064 - 8-32 X 3/8 Bind Hd Sst Screw,stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\Pumps\LP01-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Spotters\NS03-AD\schematic_data.json
screw 8-32 x 5/8 truss,screw 8-32 x 5/8 truss,screw,medium,2,Asgard; TapeTech,7,,tapetech-tapetech-lock-block-for-07tt-050212f-sch; asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,Screw 8-32 X 5/8 Truss Hd. S.S; TapeTech 8-32 X 5/8 Truss Hd Screw (059127),stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\Handles\FBHE-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
screw 8-32 x 6,screw 8-32 x 6,screw,medium,2,Level5; Platinum,2,,level5-4-734-3-5-corner-finisher; platinum-corner-finisher,CF Slotted Screw 8-32 x 6.35,,frontend\public\brands\Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\schematic_data.json; frontend\public\brands\Platinum\Schematics\CornerFinishers\CornerFinisher\schematic_data.json
set screw 1/4-28 x 1/4,set screw 1/4-28 x 1/4,set screw,high,2,Columbia; TapeTech,6,FA302,tapetech-flat-box-handle-sch; 1777935057955,"1/4 - 28 x 1/4"" Set Screw; Stscrew 1/4-28X1/4",,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; frontend\public\brands\TapeTech\Schematics\81XXTT\schematic_data.json
set screw 4-40 x 1/8,set screw 4-40 x 1/8,set screw,high,2,Columbia; TapeTech,11,FAZ1S,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-90-inside-corner-edger-tapetech-40tt-sch; tapetech-90-inside-corner-edger-tapetech-45tt-sch,Predator Taper 4 - 40 x 1/8 Set Screw; Predator Taper 4-40 x 1/8 Set Screw (FAZ1S); 4-40X1/8 SET SCREW,,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json
set screw 6-32 x 1/8,set screw 6-32 x 1/8,set screw,high,2,Columbia; TapeTech,29,FA235; FAZ21S,columbia-angle-head-sch; columbia-cam-lock-tube-sch; columbia-compound-tube-sch; columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-90-inside-corner-edger-tapetech-42tt-sch; tapetech-90-inside-corner-edger-tapetech-48tt-sch,"6 - 32 X 1/8"" Set Screw; Predator Taper 6 - 32 x 1/8 Set Screw; 6-32 x 1/8 Set Screw (FA235); Predator Taper 6-32 x 1/8 Set Screw (FAZ21S); 6-32 X 1/8 Setscrew",,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\Angleheads\AngleHead\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json; frontend\public\brands\TapeTech\Schematics\42TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\48TT\schematic_data.json
set screw 8-32 x 1/4,set screw 8-32 x 1/4,set screw,high,3,Asgard; Columbia; TapeTech,15,FAZ5S,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-corner-applicator-sch; tapetech-90-inside-corner-edger-tapetech-40tt-sch; tapetech-90-inside-corner-edger-tapetech-45tt-sch; tapetech-corner-applicator-sch-2; asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch; asgard-angle-head-3-ah30-ad-sch; asgard-angle-head-3-5-ah35-ad-sch; asgard-ca08-ad-applicator-box-head-sch; asgard-hammer-automatic-taper-at01-ad-sch,Predator Taper 8 - 32 x 1/4 Set Screw; Predator Taper 8-32 x 1/4 Set Screw (FAZ5S); 8-32 X 1/4 SETSCREW 1/2 DOG SST; 059084 - 8-32 X 1/4 1/2 Dog Setscrew,stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Tapers\AT01-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json
