brand,schematic_category,schematic_tool_path,schematic_tool,schematic_variant,schematic_id,schematic_title,product_name,product_sku,diagram_pages,legend_pages,image,preview_image,image_natural_width,image_natural_height,source_file,source_file_from_brands,part_index,occurrence_type,part_id,display_id,sku,source_sku,part_number,part_name,quantity,price,notes,page_number,coordinate_id,x_pct,y_pct,x_px,y_px,width_px,height_px,coordinate_shape,coordinate_rotation,hotspot_id,hotspot_part_ref,hotspot_page,hotspot_shape_type,hotspot_x_px,hotspot_y_px,hotspot_width_px,hotspot_height_px,hotspot_rotation_deg,hotspot_anchor_json,hotspot_z_index,hotspot_interaction_json,hotspot_normalized_json,raw_part_json,raw_coordinate_json,raw_hotspot_json
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,225,part,059085,059085,,059085,059085,Screw 8-32 X 1/4 Fil. Hd. S.S,1,,,2,059085,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059085"",""name"":""Screw 8-32 X 1/4 Fil. Hd. S.S"",""quantity"":1,""sku"":"""",""source_sku"":""059085""}","{""id"":""059085"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,77,part,059087,059087,,059087,059087,"Nut 3-48 Hex, Miniature S.S.",1,,,1,059087,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059087"",""name"":""Nut 3-48 Hex, Miniature S.S."",""quantity"":1,""sku"":"""",""source_sku"":""059087""}","{""id"":""059087"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,48,part,059091,059091,,059091,059091,"Screw 6-32 X 1/2 Slotted Fil. Hd., S.S.",2,,,1,059091,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059091"",""name"":""Screw 6-32 X 1/2 Slotted Fil. Hd., S.S."",""quantity"":2,""sku"":"""",""source_sku"":""059091""}","{""id"":""059091"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,53,part,059091,059091,,059091,059091,"Screw 6-32 X 1/2 Slotted Fil. Hd., S.S.",2,,,1,059091,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059091"",""name"":""Screw 6-32 X 1/2 Slotted Fil. Hd., S.S."",""quantity"":2,""sku"":"""",""source_sku"":""059091""}","{""id"":""059091"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,155,part,059092,059092,,059092,059092,"Screw 8-32 X 1-1/2, Slotted Rd. Hd., S.S",1,,,2,059092,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059092"",""name"":""Screw 8-32 X 1-1/2, Slotted Rd. Hd., S.S"",""quantity"":1,""sku"":"""",""source_sku"":""059092""}","{""id"":""059092"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,37,part,059098,059098,,059098,059098,"Shim, Side Plate",2,,,1,059098,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059098"",""name"":""Shim, Side Plate"",""quantity"":2,""sku"":"""",""source_sku"":""059098""}","{""id"":""059098"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,5,part,059102,059102,,059102,059102,Screw 4-40 X .225/.235 Fl.Hd.SST.,12,,,1,059102,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059102"",""name"":""Screw 4-40 X .225/.235 Fl.Hd.SST."",""quantity"":12,""sku"":"""",""source_sku"":""059102""}","{""id"":""059102"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,19,part,059102,059102,,059102,059102,Screw 4-40 X .225/.235 Fl.Hd.SST.,12,,,1,059102,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059102"",""name"":""Screw 4-40 X .225/.235 Fl.Hd.SST."",""quantity"":12,""sku"":"""",""source_sku"":""059102""}","{""id"":""059102"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,21,part,059102,059102,,059102,059102,Screw 4-40 X .225/.235 Fl.Hd.SST.,12,,,1,059102,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059102"",""name"":""Screw 4-40 X .225/.235 Fl.Hd.SST."",""quantity"":12,""sku"":"""",""source_sku"":""059102""}","{""id"":""059102"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,45,part,059102,059102,,059102,059102,Screw 4-40 X .225/.235 Fl.Hd.SST.,12,,,1,059102,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059102"",""name"":""Screw 4-40 X .225/.235 Fl.Hd.SST."",""quantity"":12,""sku"":"""",""source_sku"":""059102""}","{""id"":""059102"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
