part_key,canonical_name,part_type,brand,occurrence_count,catalog_skus,example_titles
pin 1/16 x 3/4 cotter,pin 1/16 x 3/4 cotter,pin,Columbia,1,FA203,"1/16 x 3/4"" Cotter Pin"
pin 1/4 split,pin 1/4 split,pin,Columbia,3,FA288; FA289,"1/4"" X 3/4"" Split Pin; Split Pin 1/4"" X 2"""
pin 1/4 x 1/4 roll,pin 1/4 x 1/4 roll,pin,Columbia,5,FA345,1/4 x 1/4 Roll Pin; 1/4 x 1/4 Roll Pin (FA345)
pin 1/4 x 5/8 split,pin 1/4 x 5/8 split,pin,Columbia,8,FA287,1/4 x 5/8 Split Pin; 1/4 x 5/8 Split Pin (FA287)
pin 1/8 split,pin 1/8 split,pin,Columbia,8,FA224,"1/8"" x 3/8"" Split Pin; 1/8"" X 3/8"" Split Pin (FA224)"
pin 3/16 x 1,pin 3/16 x 1,pin,Columbia,2,FA365,"3/16 x 1"" Sping Pin SS"
pin 3/8 x 1/2 roll,pin 3/8 x 1/2 roll,pin,Columbia,5,FA359,3/8 x 1/2 Roll Pin; 3/8 x 1/2 Roll Pin (FA359)
pin 5/64 x 1/2 cotter,pin 5/64 x 1/2 cotter,pin,TapeTech,6,,Cotter Pin. 5/64 X 1/2 S.S
pin 7/8 roll,pin 7/8 roll,pin,Columbia,2,FA317,"5/32"" x 7/8"" Roll Pin"
rivet 3/16 x 3/8,rivet 3/16 x 3/8,rivet,Columbia,11,FA284,3/16 x 3/8 SS Pop Rivet; 3/16 x 3/8 SS Pop Rivet (FA284)
screw 1/4-20 x 1,screw 1/4-20 x 1,screw,Level5,1,,1/4-20x1-1/4in HH Screw
screw 1/4-20 x 1-1/4 socket head,screw 1/4-20 x 1-1/4 socket head,screw,Columbia,5,FA340,1/4 - 20 x 1 - 1/4 Socket Head; 1/4-20 x 1-1/4 Socket Head (FA340)
screw 1/4-20 x 1/2 flat head,screw 1/4-20 x 1/2 flat head,screw,TapeTech,2,,1/4-20 X 1/2 Screw Fl Hd Socket Cap
screw 1/4-20 x 3/8 flat head,screw 1/4-20 x 3/8 flat head,screw,Columbia,5,FA383,1/4 - 20 x 3/8 Flat Head Screw; 1/4-20 x 3/8 Flat Head Screw (FA383)
screw 1/4-20 x 3/8 socket head,screw 1/4-20 x 3/8 socket head,screw,Columbia,6,,"1/4-20 X 3/8"" Socket Hd Screw (FA294)"
screw 1/4-20 x 5/8 hex head,screw 1/4-20 x 5/8 hex head,screw,Asgard,1,,"559017 - 1/4-20 X 5/8"" Hex Hd Screw"
screw 1/4-20 x 58 hex head,screw 1/4-20 x 58 hex head,screw,TapeTech,2,,1/4-20X58 HEX HEAD SCREW
