part_key,canonical_name,part_type,brand,occurrence_count,catalog_skus,example_titles
washer #8 belleville,washer #8 belleville,washer,Columbia,1,FA278,#8 Belleville Washer
washer #8 flat,washer #8 flat,washer,Columbia,5,FA253,#8 Flat Washer; #8 Flat Washer (FA253)
washer #8 star,washer #8 star,washer,Columbia,5,FA252,#8 Star Washer; #8 Star Washer (FA252)
washer 1/2 flat,washer 1/2 flat,washer,Columbia,2,FA308,"1/2"" x 7/8"" Flat Washer"
washer 1/4,washer 1/4,washer,TapeTech,1,,"Washer, Nas620C 1/4 L, Sst"
washer 1/4 flat,washer 1/4 flat,washer,Columbia,28,FA348; FA286,"1/4 Flat Washer; 1/4"" x 1/2"" Flat Washer; ¼"" x ½"" Flat Washer (FA286); 1/4 Flat Washer (FA348)"
washer 1/4 plastic,washer 1/4 plastic,washer,Columbia,10,FA285; FA2AS,"1/4"" Plastic Washer; 1/4 in Plastic Washer (FA285); 1/4"" Plastic Washer (FA285)"
washer 1/4 star,washer 1/4 star,washer,Columbia,5,FA346,1/4 Star Washer; 1/4 Star Washer (FA346)
washer 1/8,washer 1/8,washer,Columbia,1,FA225,"1/8"" x 3/8"" Rivet Shoulder Washer"
washer 10 x 3/4 fender,washer 10 x 3/4 fender,washer,Columbia,11,FA270,"#10 x 3/4"" Fender Washer; #10 X 3/4"" Fender Washer (FA270)"
washer 188id,washer 188id,washer,TapeTech,1,499024,Washer - .188Id X
washer 3/16 plastic,washer 3/16 plastic,washer,Asgard,2,,609018 - 3/16 Plastic Washer
washer 3/8,washer 3/8,washer,TapeTech,1,159027,"Washer 3/8"" OD 3/16"" IDSST"
washer 3/8 flat,washer 3/8 flat,washer,Columbia,8,FA328,3/8 Flat Washer; 3/8 Flat Washer (FA328)
washer 3/8 lock,washer 3/8 lock,washer,Columbia,5,FA360,3/8 Lock Washer; 3/8 Lock Washer (FA360)
washer 33/64 x 7 flat,washer 33/64 x 7 flat,washer,Columbia,6,,33/64 X 7/8in Flat Washer (FA-308)
washer 5/16 lock,washer 5/16 lock,washer,Level5,1,,5/16 Lockwasher
