sku,taxon_key,position,evidence,review_status
TT-BRAKELESS-BOX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
TTPFB,semi_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Tool Sets,approved
TTBTS,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTPPS-EF,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTSFS-2,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTCFS,semi_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Tool Sets,approved
TTSFS,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTPPS,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTPSS,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTBBS,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
TTCFS-M,semi_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Tool Sets,approved
TT-COMBO-CORNER-FLUSHER,semi_corner_flushers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,approved
TT-COMPOUND-TUBE,semi_compound_tubes,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,approved
TT-CORNER-APPLICATOR,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
TT-CORNER-FINISHER,automatic_angle_heads_corner_finishers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,approved
TT-CORNER-ROLLER,automatic_corner_rollers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,approved
TT-COVE-APPLICATOR-HEAD,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
TT-DIRECT-CORNER-FLUSHER,semi_corner_flushers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,approved
TT-EASYCLEAN-AUTOMATIC-TAPER,automatic_tapers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,approved
TT-EASYCLEAN-FINISHING-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
TT-EASYCLEAN-PUMP,automatic_loading_pumps,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,approved
TT-EASYFINISH-BOX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
TT-FLAT-BOX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
TT-GOOSENECK,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
TT-MAXXBOX-HIGH-CAPACITY-FINISHING-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
TT-NAIL-SPOTTER,automatic_nail_spotters,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,approved
TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
TT-QUICKBOX-QSX-FINISHING-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
TT-SUPPORT-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
TT-SUPPORT-HANDLE-ADAPTER,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
TT-WIZARD-COMPACT-FINISHING-BOX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
TT-MUDRUNNER,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
CTA01TT,semi_compound_tubes,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,approved
MRX01TT,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
90T,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
GSR-TT,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
804003F,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
