old_filename,new_filename,brand,sku,page,resolution_source
columbia-one-handle-4-8-long-extendible-chxl-sch-schematic-page-01.webp,columbia_chxl_sch-page-001.webp,columbia,CHXL,1,schematic map: columbia-long-extendable-handle
columbia-one-handle-sch-schematic-page-01.webp,columbia_col-one-handle_sch-page-001.webp,columbia,COL-ONE-HANDLE,1,schematic map: columbia-one
columbia-outside-corner-roller-sch-schematic-page-01.webp,columbia_cobcr_sch-page-001.webp,columbia,COBCR,1,schematic map: columbia-standard-outside-corner-roller
columbia-semi-automatic-taper-sat-sch-schematic-page-01.webp,columbia_sat_sch-page-001.webp,columbia,SAT,1,schematic map: columbia-semi-automatic-taper
columbia-standard-flusher-sch-schematic-page-01.webp,columbia_col-standard-flusher_sch-page-001.webp,columbia,COL-STANDARD-FLUSHER,1,schematic map: columbia-standard-corner-flusher
columbia-throttle-box-sch-schematic-page-01.webp,columbia_col-throttle-corner-flusher-box_sch-page-001.webp,columbia,COL-THROTTLE-CORNER-FLUSHER-BOX,1,schematic map: columbia-throttle-box
columbia-tomahawk-smoothing-blade-sch-schematic-page-01.webp,columbia_tomahawk_sch-page-001.webp,columbia,TOMAHAWK,1,schematic map: columbia-tomahawk-smoothing-blades
cr01-ad_sch-page-001.webp,columbia_cr01-ad_sch-page-001.webp,columbia,cr01-ad,1,existing Columbia AD SKU
ehc07-ad_sch-page-001.webp,columbia_ehc07-ad_sch-page-001.webp,columbia,ehc07-ad,1,existing Columbia AD SKU
EHC07_SCH_page_1.webp,tapetech_ehc07_sch-page-001.webp,tapetech,EHC07,1,catalog SKU
ehc10-ad_sch-page-001.webp,columbia_ehc10-ad_sch-page-001.webp,columbia,ehc10-ad,1,existing Columbia AD SKU
EHC10_SCH_page_1.webp,tapetech_ehc10_sch-page-001.webp,tapetech,EHC10,1,catalog SKU
ehc12-ad_sch-page-001.webp,columbia_ehc12-ad_sch-page-001.webp,columbia,ehc12-ad,1,existing Columbia AD SKU
EHC12_SCH_page_1.webp,tapetech_ehc12_sch-page-001.webp,tapetech,EHC12,1,catalog SKU
ez07-ad_sch-page-001.webp,columbia_ez07-ad_sch-page-001.webp,columbia,ez07-ad,1,existing Columbia AD SKU
EZ07TT_SCH_page_1.webp,tapetech_ez07tt_sch-page-001.webp,tapetech,EZ07TT,1,catalog SKU
ez10-ad_sch-page-001.webp,columbia_ez10-ad_sch-page-001.webp,columbia,ez10-ad,1,existing Columbia AD SKU
EZ10TT_SCH_page_1.webp,tapetech_ez10tt_sch-page-001.webp,tapetech,EZ10TT,1,catalog SKU
ez12-ad_sch-page-001.webp,columbia_ez12-ad_sch-page-001.webp,columbia,ez12-ad,1,existing Columbia AD SKU
EZ12TT_SCH_page_1.webp,tapetech_ez12tt_sch-page-001.webp,tapetech,EZ12TT,1,catalog SKU
EZ15TT_SCH_page_1.webp,tapetech_ez15tt_sch-page-001.webp,tapetech,EZ15TT,1,catalog SKU
fa01-ad_sch-page-001.webp,columbia_fa01-ad_sch-page-001.webp,columbia,fa01-ad,1,existing Columbia AD SKU
fbhe-ad_sch-page-001.webp,columbia_fbhe-ad_sch-page-001.webp,columbia,fbhe-ad,1,existing Columbia AD SKU
fbhe-ad_sch-page-002.webp,columbia_fbhe-ad_sch-page-002.webp,columbia,fbhe-ad,2,existing Columbia AD SKU
fh-ad_sch-page-001.webp,columbia_fh-ad_sch-page-001.webp,columbia,fh-ad,1,existing Columbia AD SKU
gn01-ad_sch-page-001.webp,columbia_gn01-ad_sch-page-001.webp,columbia,gn01-ad,1,existing Columbia AD SKU
lp01-ad_sch-page-001.webp,columbia_lp01-ad_sch-page-001.webp,columbia,lp01-ad,1,existing Columbia AD SKU
model-4-14-22.webp,dura-stilts_d14-22_sch-page-001.webp,dura-stilts,D14-22,1,Dura-Stilts model range
model-4-18-30.webp,dura-stilts_d18-30_sch-page-001.webp,dura-stilts,D18-30,1,Dura-Stilts model range
model-4-24-40.webp,dura-stilts_d24-40_sch-page-001.webp,dura-stilts,D24-40,1,Dura-Stilts model range
MUD-PUMP-SUB-ASSEMBLIES-2022-enhanced.webp,columbia_hmp-2022_sch-page-001.webp,columbia,HMP-2022,1,legacy exact mapping
ns03-ad_sch-page-001.webp,columbia_ns03-ad_sch-page-001.webp,columbia,ns03-ad,1,existing Columbia AD SKU
pa07-ad_sch-page-001.webp,columbia_pa07-ad_sch-page-001.webp,columbia,pa07-ad,1,existing Columbia AD SKU
pa10-ad_sch-page-001.webp,columbia_pa10-ad_sch-page-001.webp,columbia,pa10-ad,1,existing Columbia AD SKU
pa12-ad_sch-page-001.webp,columbia_pa12-ad_sch-page-001.webp,columbia,pa12-ad,1,existing Columbia AD SKU
PAHC07_SCH_page_1.webp,tapetech_pahc07_sch-page-001.webp,tapetech,PAHC07,1,catalog SKU
PAHC10_SCH_v2_page_1.webp,tapetech_pahc10_sch-page-001.webp,tapetech,PAHC10,1,catalog SKU
PAHC12_SCH_page_1.webp,tapetech_pahc12_sch-page-001.webp,tapetech,PAHC12,1,catalog SKU
platinum_compound_pump-page-001.webp,platinum_pt-cp_sch-page-001.webp,platinum,PT-CP,1,schematic map: platinum-compound-pump
platinum_corner_applicator_handle-page-001.webp,platinum_pt-cah50_sch-page-001.webp,platinum,PT-CAH50,1,schematic map: platinum-corner-applicator-handle
Platinum_Corner_Finisher-page-001.webp,platinum_pt-cf_sch-page-001.webp,platinum,PT-CF,1,schematic map: platinum-corner-finisher
platinum_corner_finisher_handle-page-001.webp,platinum_pt-cfh50_sch-page-001.webp,platinum,PT-CFH50,1,schematic map: platinum-corner-finisher-handle
platinum_corner_roller_Handle-page-001.webp,platinum_pt-crh50_sch-page-001.webp,platinum,PT-CRH50,1,schematic map: platinum-corner-roller-handle
Platinum_Flat_Box-page-001.webp,platinum_pt-fb_sch-page-001.webp,platinum,PT-FB,1,schematic map: platinum-flat-box
platinum_flatbox_handle-page-001.webp,platinum_pt-bh_sch-page-001.webp,platinum,PT-BH,1,schematic map: platinum-flat-box-handle
platinum_outside_cornerroller-page-001.webp,platinum_pt-ocr_sch-page-001.webp,platinum,PT-OCR,1,schematic map: platinum-outside-corner-roller
QB06-QSX_SCH_page_1.webp,tapetech_qb06-qsx_sch-page-001.webp,tapetech,QB06-QSX,1,catalog SKU
QB08-QSX_SCH_page_1.webp,tapetech_qb08-qsx_sch-page-001.webp,tapetech,QB08-QSX,1,catalog SKU
TALL-BOY-MUD-PUMP-SUB-ASSEMBLIES-2022-enhanced.webp,columbia_tbmp-2022_sch-page-001.webp,columbia,TBMP-2022,1,legacy exact mapping
tapetech-17tt--page-1.webp,tapetech_17tt_sch-page-001.webp,tapetech,17tt,1,catalog SKU
tapetech-90-inside-corner-edger-tapetech-42tt-sch-schematic-page-001.webp,tapetech_42tt_sch-page-001.webp,tapetech,42TT,1,schematic map: tapetech-42tt
tapetech-90-inside-corner-edger-tapetech-48tt-sch-schematic-page-001.webp,tapetech_48tt_sch-page-001.webp,tapetech,48TT,1,schematic map: tapetech-48tt
tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,tapetech_07tt_sch-page-001.webp,tapetech,07TT,1,schematic map: tapetech-07tt
tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-002.webp,tapetech_07tt_sch-page-002.webp,tapetech,07TT,2,schematic map: tapetech-07tt
tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-003.webp,tapetech_07tt_sch-page-003.webp,tapetech,07TT,3,schematic map: tapetech-07tt
tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-004.webp,tapetech_07tt_sch-page-004.webp,tapetech,07TT,4,schematic map: tapetech-07tt
xh-ad_sch-page-001.webp,columbia_xh-ad_sch-page-001.webp,columbia,xh-ad,1,existing Columbia AD SKU
XHTT_SCH_page_1.webp,tapetech_xhtt_sch-page-001.webp,tapetech,XHTT,1,catalog SKU
