schematic_id,brand,sku_or_alias,page,filename,checksum_sha256,size_bytes
level5_9333,level5,9333,1,level5_9333_sch-page-001.webp,d1d0488e7e1556a645d18b642dcd6641bbdd97e84feee1420aa4ee84395e388a,22318
platinum_pt-bh,platinum,pt-bh,1,platinum_pt-bh_sch-page-001.webp,8c4c03fa42221ca12b6fe6b31cf989b43ef3cd166d79a5894adec662f3ac6c54,1514984
platinum_pt-cah50,platinum,pt-cah50,1,platinum_pt-cah50_sch-page-001.webp,a79940fb2bbe3a66cb057a66328829be7d51d962f13b8811f51bc7dfe18f6843,1708648
platinum_pt-cf,platinum,pt-cf,1,platinum_pt-cf_sch-page-001.webp,695566b5399e9afae8dfebaf085b67c8dd2b5449f7a1872d1245cc0bbbc7ffa8,1985020
platinum_pt-cfh50,platinum,pt-cfh50,1,platinum_pt-cfh50_sch-page-001.webp,ab6b35454e35a48546278d91389d7a755ec7ddfefb72ae29528d459d4992b972,1221146
platinum_pt-cp,platinum,pt-cp,1,platinum_pt-cp_sch-page-001.webp,438c23b32023e9cbf6d0e73e2f8714d6d940d602dff77ab3de238172ce4ea182,1539476
platinum_pt-crh50,platinum,pt-crh50,1,platinum_pt-crh50_sch-page-001.webp,4dd4a47817abff48ef4c329120ab4be43493fc83f4b6e688091e8a06a7ec1148,1587646
platinum_pt-fb,platinum,pt-fb,1,platinum_pt-fb_sch-page-001.webp,dd7726b45556d5134708ca0995818592f1dceac9c3057c72dd51cf81fb130dc2,2147050
platinum_pt-ocr,platinum,pt-ocr,1,platinum_pt-ocr_sch-page-001.webp,23aabe1ac346a3a3fb08001edd2498a10932a180b2b6cb1986e08f77a28c58ff,962552
tapetech_07tt,tapetech,07tt,1,tapetech_07tt_sch-page-001.webp,a517a21db9acd9bbdb32bda572827682a5ab858779c5f3aebfd0a909063f3fbb,2355318
tapetech_07tt,tapetech,07tt,2,tapetech_07tt_sch-page-002.webp,986fe59e5bc93de0eff94475788fa3a2fadc1413540301725b639a0390d8a169,2373956
tapetech_07tt,tapetech,07tt,3,tapetech_07tt_sch-page-003.webp,9fdf32aac902f8923e4e7fc11d3173a39abb9b4c2dce5fe417092a4e11c5e021,200066
tapetech_07tt,tapetech,07tt,4,tapetech_07tt_sch-page-004.webp,9b3240287d520afe08fac86cee06fe0f8f9c8628fa7bd11ff48483b0f2226d75,1734130
tapetech_17tt,tapetech,17tt,1,tapetech_17tt_sch-page-001.webp,0f8b1b5951a87542cdb3e4f9ec1ff098ee776e48d57ecee68e196dd0c0fcb8cc,1682864
tapetech_42tt,tapetech,42tt,1,tapetech_42tt_sch-page-001.webp,41e71e3e3a137b3d30714a260cf24976872b05cc383db7b36ec9812657583acd,1392146
tapetech_48tt,tapetech,48tt,1,tapetech_48tt_sch-page-001.webp,83fd9db45e687bee2bcd2daa2a51157aeca0f1a1ba5ed212a595a447fc7daf9d,1909158
tapetech_76tt,tapetech,76tt,1,tapetech_76tt_sch-page-001.webp,9e61f4377c79724c1b07991ba9c2268b8ef0df1756f1953f7d72d15c8ec2f093,2072272
tapetech_8034tt,tapetech,8034tt,1,tapetech_8034tt_sch-page-001.webp,02e1d1ac20695f88e8ed18dc478dc3cf8111b51a1c770f5970d05c2aa93154ba,1955646
tapetech_85t,tapetech,85t,1,tapetech_85t_sch-page-001.webp,de7f2393e58f4d1c1b436dcceb2ba76650404829835fec8e580b42d6f138781d,1617462
