brand,name,sku,category,weight,length,width,height,cogs,description
TapeTech,CONTROL TUBE ANODIZED TAPETECH,052415A,Parts,0.84,13,2.5,2.5,,
TapeTech,BRAKE SPRING MOUNT,052576,Parts,0.0065,0.5,0.2,0.2,8.56,<p>Brake Spring Mount </p>
TapeTech,GOOSER ASSEMBLY,054028,Parts,0.028,0.75,1,1.5,8.48,<p>Gooser Assembly</p>
TapeTech,PUSH ROD ASSEMBLY,054032F,Parts,0.034,2,2,4,24.30,<p>Push Rod Assembly</p>
TapeTech,BAFFLE PLATE ASSEMBLY TAPETECH,054048F,Parts,0.05,2.5,2.5,0.025,,
TapeTech,AUTOMATIC TAPER FILLER VALVE ASSEMBLY,054059F,Parts,0.06,0.6,0.6,1.5,16.86,<p>Replacement Filler Tube Assembly for TapeTech 04TT and 05TT Automatic Tapers</p>    <p>Also fits TapeTech 14TT MudRunner</p>
TapeTech,FILLER TUBE WITH VALVE,054064F,Parts,0.078,1.8,0.75,0.75,,
TapeTech,TAPE RUNNER ASSEMBLY RIGHT,054075,Parts,0.03,0.3,1.5,2,15.98,<p>Tape Runner Assembly</p>
TapeTech,LONG CREASER ASSEMBLY,054095F,Parts,0.025,1,0.5,3.75,11.82,<p>Long Creaser Assembly</p>
TapeTech,SHORT CREASER ASSEMBLY,054096F,Parts,0.0225,4,0.5,0.5,6.93,<p>Short Creaser Assembly</p>
TapeTech,TAPE GUIDE ASSEMBLY,054101,Parts,0.14,7,2,0.3,25.27,"<p>TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.</p>"
TapeTech,TAPE RUNNER ASSEMBLY LEFT,054104,Parts,0.0225,0.25,1.75,2.25,15.98,<p>Tape Runner Assembly</p>
TapeTech,SHAFT DRIVE ASSEMBLY (INCLUDES SPROCKET),054110F,Parts,0.05,,,,22.66,<p>Replacement Shaft Drive Assembly</p>
TapeTech,GOOSER GUIDE BUSHING,054111F,Parts,0.02,5,0.3,0.3,7.74,<p>TapeTech gooser guide bushing.</p>
TapeTech,SPROCKET DRIVER ASSEMBLY,054114F,Parts,0.09375,2.25,2.25,0.5,42.80,<p>Replacement sprocket assembly for TapeTech 04TT and 05TT Automatic Tapers.</p>
TapeTech,TAPETECH DRIVE DOG ASSEMBLY,054116F,Parts,0.01,0.1,0.2,1.5,11.82,<p>Drive Dog Assembly</p>
TapeTech,DRIVE DOG HOLDER ASSEMBLY,054118F,Parts,0.02,2,1,0.5,14.92,<p>Drive Dog Holder Assembly</p>
TapeTech,AUTOMATIC TAPER CABLE,054209F6,Parts,0.002,3,3,1,,
TapeTech,CONTROL ARM ASSEMBLY TAPETECH,054219,Parts,0.3045,11,1,1,,
TapeTech,TRIGGER ASSEMBLY TRIGGER ASSB FOR TAPER,054245F,Parts,0.139,0.5,1,4,36.69,<p>TapeTech Trigger Assembly for Taper</p> <p>Part #&nbsp;054245F</p>
TapeTech,AUTOMATIC TAPER LOCKING ROLLER ASSY (ASGARD),055007,Parts,0.006,0.25,0.25,0.45,5.48,<p>Tape Tech Automatic Taper Locking Roller Assembly Brake</p>  <p>Part #055007</p>
TapeTech,NEEDLE SPRING (REPLACES 059022),056022,Parts,0.01,1.25,0.2,0.1,3.01,<p>Replacement&nbsp;Gooser Needle Spring (Replaces 059022) for TapeTech 04TT and 05TT Automatic Tapers</p>
TapeTech,TAPER HEAD,056100F,Parts,0.219,3,3,2,60.74,<p>Replacement Automatic&nbsp;Taper Head for TapeTech 04TT and 05TT</p>
TapeTech,PYRAMID BLADE STAINLESS STEEL,0561336,Parts,0.002,,,,,
TapeTech,CUTTER CHAIN ASSEMBLY STAINLESS STEEL,056135,Parts,0.064,0.25,0.25,9,72.97,"<p>TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.</p>"
TapeTech,CUTTER CHAIN #056142,056142F,Parts,0.0225,4,0.15,0.15,21.74,<p>For Repair or Maintenance of TapeTech 04TT or 05TT Tapers</p>
TapeTech,GOLD TAPER TUBE,056248G,Parts,1.5845,49.5,3,3,256.83,<p>Gold Taper Tube Replacement</p>
TapeTech,HEX L-KEY .050 TAPE TECH,057352,Parts,0.002,0.1,0.75,2.75,,
TapeTech,HEX L-KEY .062 TAPETECH,057353,Parts,0.0035,3,0.5,0.05,,
TapeTech,TAPER TUBE CLEANING BRUSH,057355,Parts,0.233,10,4,4,26.46,Taper Tube Cleaning Brush
TapeTech,PUMP TUBE CLEANING BRUSH,057356,Parts,1,,,,24.73,<p>Pump Tube Cleaning Brush</p>
TapeTech,TAPER MAIN CHAIN SST,058126F,Parts,0.07,,,,36.77,"<p>TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.</p>"
TapeTech,40-4 HEX SST NUT,059005,Parts,0.002,0.5,0.5,0.5,0.44,<p>4-40 Hex S.S. Nut&nbsp;</p>
TapeTech,ROLLER AXLE SPRING,0590106,Parts,0.0005,0.01,0.01,2,,
TapeTech,6-32 x 3/8 FILLISTER HEAD SST SCREW +,0590126,Parts,0.002,0.2,0.2,0.5,,
TapeTech,6-32 x 5/16 ROUND HEAD SST SCREW +,059013,Parts,0.001,0.25,0.25,0.35,0.44,<p>Screw 6-32 X 5/16 Rd.&nbsp;</p>
TapeTech,Screw 4-40 X 3/16 Truss Hd. S.S,059014,Parts,0.0008,0.25,0.25,0.25,0.44,<p>Replacement Screw 4-40 X 3/16 for TapeTech 04TT and 05TT Automatic Tapers</p>
TapeTech,6-32x1/4 FILLISTER HEAD SST SCREW HD,0590156,Parts,0.0015,0.2,0.2,0.35,,
TapeTech,#6 LOCK WASHER MEDIUM SPRING SST,0590166,Parts,0.00033,0.1,0.25,0.25,,
TapeTech,6-32 THIN STOPNUT,0590186,Parts,0.0015,0.15,0.3,0.3,,
TapeTech,AUTOMATIC TAPER 3/8 BIND HEAD SST SCREW +,0590206,Parts,0.16667,0.2,0.2,0.2,,
TapeTech,4-40 X 5/32 BIND HEADSCR EW SST,059021,Parts,0.01,,,,,
TapeTech,CHAIN KEEPER WASHER,059024,Parts,0.01,0.01,0.5,0.5,2.44,<p>Chain Keeper</p>
TapeTech,5/64 x 1/2 SST COTTER PIN,0590256,Parts,0.001,0.1,0.2,0.8,,
TapeTech,6-32x5/8 Flat head Screw,059029,Parts,0.0036,0.25,0.25,0.6,0.44,<p>Screw 6-32 X 5/8 Fl.&nbsp;</p>
TapeTech,"4-40 x 1/4"" BIND HEAD SST SCREW +",0590376,Parts,0.001,0.1,0.1,0.25,,
TapeTech,#4 MEDIUM SPRING LOCKWASHER +,059038,Parts,0.00058,0.01,0.2,0.2,0.44,"<p>TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.</p>"
TapeTech,O RING,059040,Parts,0.0002,0.1,0.25,0.25,0.44,<p>O Ring 568-006 Buna</p>
TapeTech,Insert,059044,Parts,0.0015,0.25,0.5,0.5,8.56,<p>Insert</p>
TapeTech,SCREW 2-56X1/8 BIND HD SS TAPETECH,059047,Parts,1,0.1,0.1,0.1,,
TapeTech,AUTOMATIC TAPER GOOSER NEEDLE,0590496,Parts,1,,,,,
TapeTech,"6-32 x 3/16"" FILLISTER HEAD SST SCREW +",0590516,Parts,0.0015,0.2,0.2,0.25,,
TapeTech,"2-56x 3/16"" FIL HEAD SCREW",0590566,Parts,0.00033,0.15,0.15,0.25,,
TapeTech,"4-40 x 3/16"" BIND HEAD SST SCREW +",0590576,Parts,0.001,0.25,0.25,0.25,,
TapeTech,AUTOMATIC TAPER 3-48 STOP NUT +,059060,Parts,0.01,,,,0.44,"<p>Replacement&nbsp;Stopnut 3-48 Hex., Nyloc SST for TapeTech: 04TT, 05TT Automatic Tapers; 14TT MudRunner; and 40TT, 50TT Corner Finishers</p>"
TapeTech,VALVE SPRING,059061F,Parts,0.0006,0.1,0.1,0.5,1.95,<p>TapeTech replacement Valve Spring</p>
TapeTech,KEY RING,059067,Parts,0.005,0.1,1,1,0.80,<p>For Repair or Maintenance of TapeTech 04TT or 05TT Tapers</p>
TapeTech,8-32 HEX ELASTIC STOPNUT +,059074,Parts,0.0025,0.2,0.4,0.4,0.44,<p>Replacement 8-32 Hex Elastic Stopnut for TapeTech 04TT &amp; 05TT Automatic Tapers; 63TT Nail Spotter</p>
TapeTech,NYLINER BEARING,0590786,Parts,0.001,0.25,0.25,0.25,,
TapeTech,DRUM WASHER,0590826,Parts,0.001,0.05,0.75,0.75,,
TapeTech,"AUTOMATIC TAPER 1/4"" 1/2 DOG SST SET SCREW",0590846,Parts,0.00158,0.15,0.15,0.25,,
TapeTech,TAPETECH SCREW 8-32X1/4 FIL HD SS,059085,Parts,0.00133,0.25,0.25,0.35,,
TapeTech,"NUT 3-48 HEX, MINI SS",059087,Parts,0.0005,0.05,0.15,0.15,,
TapeTech,"6-32 x 1/2"" FILLISTER HEAD SST SCREW +",059091,Parts,0.01,0.1,0.1,0.6,0.44,"<p>For Repair or Maintenance of the TapeTech 40TT 2"" Corner Finisher</p>"
TapeTech,8-32 X 1-1/2 ROUND HEAD SCREW SST,059092,Parts,0.008,0.2,0.2,1.75,0.44,<p>8-32 X 1-1/2 ROUND HEADSCREW SST</p>
TapeTech,"4-40 x 1/4"" FLAT HEAD SST SCREW +",0591026,Parts,0.00058,0.25,0.2,0.2,,
TapeTech,Screw 4-40 X 1/8 Sltd Fl Hd SST.,059106,Parts,0.01,,,,0.55,<p>Replacement Screw 4-40 X 1/8 Sltd for TapeTech 04TT and 05TT</p>
TapeTech,6-32x1/4 Flat Head Screw,059107,Parts,0.01,0.3,0.1,0.1,0.44,"<p>TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.</p>"
TapeTech,SCREW SELF TAP #8  x 5/16,059117,Parts,0.002,0.49,0.25,0.25,0.69,"<p>SCREW SELF TAP #8 x5/16""</p>"
TapeTech,DRIVE DOG HOLDER PIN,059119,Parts,0.01,0.3,0.01,0.01,0.44,<p>Replacement Drive Dog Holder Pin&nbsp;</p>
TapeTech,DRIVE DOG AXLE,059120,Parts,0.01,0.5,0.05,0.05,0.44,"<p>Axle, Drive Dog</p>"
TapeTech,Screw 8-32 X 5/8 Truss Hd. S.S,059127,Parts,0.0045,0.3,0.3,0.75,0.46,<p>Replacemen Screw 8-32 X 5/8 Truss Hd. S.S for TapeTech 04TT and 05TT</p>
TapeTech,CUTTER BLOCK PIN,059129,Parts,0.01,0.3,0.05,0.05,0.44,<p>Cutter Block Pin</p>
TapeTech,"1/16"" x 1/2"" SST COTTER PIN +",0591436,Parts,0.0005,0.1,0.15,0.75,,
TapeTech,"4-40 x 5/16"" BIND HEAD SST SCREW +",0591566,Parts,0.00067,0.2,0.2,0.35,,
TapeTech,"4-40 x 3/8"" FILLISTER HEAD SST SCREW +",059161,Parts,0.01,,,,0.44,"4-40 X 3/8"" Fillister Head Sst Screw +"
TapeTech,AUTOMATIC TAPER #6 EXT WASHER +,059164,Parts,0.01,,,,0.44,<p>Replacement #6 Ext. Washer for 04TT &amp; 05TT</p>
TapeTech,SCREW 5-40 X 3/4 RD HEAD SST,059201,Parts,0.0065,0.5,0.3,0.5,5.27,Screw 5-40 X 3/4 RD Head SST
TapeTech,"1/4""-20 SS COUNTERSINK NUT TAPETECH",059206,Parts,0.0115,0.2,0.6,0.6,,
