"row_index","sku","name","brand","old_regular_price","new_regular_price","source","source_variant_sku","source_variant_title","source_product_title","source_url","match_score","match_type"
"608","MH13","Large Nyliner Bushing","Columbia Tools","","5.55","csrbuilding.com","08MH13","MH13 - Large Nyliner Bushing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"609","MH15","Pinch Brake Activator","Columbia Tools","","28.01","csrbuilding.com","08MH15","MH15 - Pinch Brake Activator","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"610","MH16","Connecting Rod Housing","Columbia Tools","","9.55","csrbuilding.com","08MH16","MH16 - Connecting Rod Housing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"612","MH18","Pinch Brake Housing","Columbia Tools","","24.72","csrbuilding.com","08MH18","MH18 - Pinch Brake Housing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"613","MH19","Pinch Brake Sleeve","Columbia Tools","","35.02","csrbuilding.com","08MH19","MH19 - Pinch Brake Sleeve","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"614","MH20","Small Nyliner Bushing","Columbia Tools","","3.09","csrbuilding.com","08MH20","MH20 - Small Nyliner Bushing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"616","MH22","Grip Adjustment Pin","Columbia Tools","","14.07","csrbuilding.com","08MH22","MH22 - Grip Adjustment Pin","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"617","MH23","Grip Adjusting Fastener","Columbia Tools","","14.00","csrbuilding.com","08MH23","MH23 - Grip Adjusting Fastener","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"620","CFB3-7","Side Plate 7""","Columbia Tools","","50.53","csrbuilding.com","08CFB3-7","CFB3-7 - Side Plate 7""","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"621","CFB3-8","Side Plate 8""","Columbia Tools","","50.53","csrbuilding.com","08CFB3-8","CFB3-8 - Side Plate 8""","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"624","CFB5B","Cone Ball","Columbia Tools","","20.05","csrbuilding.com","08CFB5B","CFB5B - Cone Ball","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"625","CFB6","Mud Supply Valve Unit","Columbia Tools","","36.50","csrbuilding.com","08CFB6","CFB6 - Mud Supply Valve Unit","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"628","CFB8","Box Mount","Columbia Tools","","56.14","csrbuilding.com","08CFB8","CFB8 - Box Mount","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"629","CFB10","5/16-18 x 3/4"" Thumb Screw","Columbia Tools","","6.72","csrbuilding.com","08CFB10","CFB10 - 5/16-18 x 3/4"" Thumb Screw","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"630","CFB11A","Door Stop","Columbia Tools","","3.37","csrbuilding.com","08CFB11A","CFB11A - Door Stop","Columbia Corner Flusher Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-corner-flusher-box-repair-parts","190","normalized_sku_or_variant_part_token"
"640","CT107","Piston Body","Columbia Tools","","33.68","csrbuilding.com","08CT107","CT107 - Piston Body","Columbia Automatic Taper Body Repair Parts","https://csrbuilding.com/en-us/products/columbia-automatic-taper-body-repair-parts","190","normalized_sku_or_variant_part_token"
