"Product ID","SKU","Product","On hand","Committed","Available","Incoming","Mapping"
"4165","TT-COMBO-CORNER-FLUSHER","TapeTech Combo Corner Flusher","0","0","0","0","unmapped"
"4167","TT-COMPOUND-TUBE","TapeTech Compound Tube","0","0","0","0","unmapped"
"4168","TT-CORNER-APPLICATOR","TapeTech Corner Applicator","0","0","0","0","unmapped"
"4169","TT-CORNER-APPLICATOR-WITH-FHTT-HANDLE","TapeTech Corner Applicator with FHTT Fiberglass Handle","0","0","0","0","unmapped"
"4170","TT-CORNER-FINISHER","TapeTech Corner Finisher","0","0","0","0","unmapped"
"4171","TT-CORNER-ROLLER","TapeTech Corner Roller","0","0","0","0","unmapped"
"4172","TT-COVE-APPLICATOR-HEAD","TapeTech Cove Applicator Head","0","0","0","0","unmapped"
"4192","TT-DIRECT-CORNER-FLUSHER","TapeTech Direct Corner Flusher","0","0","0","0","unmapped"
"4193","TT-EASYCLEAN-AUTOMATIC-TAPER","TapeTech EasyClean® Automatic Taper","0","0","0","0","unmapped"
"4194","TT-EASYCLEAN-FINISHING-BOX","TapeTech EasyClean® Finishing Box","0","0","0","0","unmapped"
"4195","TT-EASYCLEAN-NAIL-SPOTTER-WITH-FHTT-HANDLE","TapeTech EasyClean® Nail Spotter with Fiberglass Handle","0","0","0","0","unmapped"
"4196","TT-EASYCLEAN-PUMP","TapeTech EasyClean® Pump","0","0","0","0","unmapped"
"4205","07TT","TapeTech EasyClean® Automatic Taper - Standard","0","0","0","0","mapped"
"4215","TT-EASYFINISH-BOX-HANDLE","TapeTech EasyFinish™ Box Handle","0","0","0","0","unmapped"
"4217","TT-FLAT-BOX-HANDLE","TapeTech Flat Box Handle","0","0","0","0","unmapped"
