449574,4-798,"47""-77""Corner Applicator Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,227.98000000000002,193.78,135.65,Each,6,6,,0,
449576,4-799,"50""-80""Corner Finisher Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,241.98000000000002,205.68,143.98,Each,6,6,,0,
449609,4-877,Corner Roller Head,LEVEL5,Drywall Auto Tools,Handles,48.49,41.22,28.85,Each,1,60,,0,
449611,4-878,Corner Applicator Head,LEVEL5,Drywall Auto Tools,Handles,43.49,36.97,25.88,Each,1,60,,0,
449612,4-879,Corner Finisher Head,LEVEL5,Drywall Auto Tools,Handles,57.49,48.87,34.21,Each,1,60,,0,
449613,4-880,"39""-57""Ext Hndl-no head",LEVEL5,Drywall Auto Tools,Handles,162.49,138.12,96.68,Each,6,6,,0,
449615,4-881,"47""-77""Ext Hndl-no head",LEVEL5,Drywall Auto Tools,Handles,184.49,156.82,109.77,Each,6,6,,0,
449621,4-901,"9""Mud Roller",LEVEL5,Drywall Hand Tools,Rollers,20.99,18.89,13.22,Each,12,48,,0,
449622,4-902,"12""Mud Roller",LEVEL5,Drywall Hand Tools,Rollers,22.99,20.69,14.48,Each,12,48,,0,
449623,4-903,"9""Mud Roller Frame",LEVEL5,Drywall Hand Tools,Rollers,15.49,13.94,9.76,Each,6,24,,0,
449624,4-904,"12""Mud Roller Frame",LEVEL5,Drywall Hand Tools,Rollers,16.49,14.84,10.39,Each,6,24,,0,
449625,4-905,"9""Mud Roller w/Frame",LEVEL5,Drywall Hand Tools,Rollers,36.48,32.83,22.98,Each,6,24,,0,
449626,4-906,"12""Mud Roller w/Frame",LEVEL5,Drywall Hand Tools,Rollers,39.48,35.53,24.87,Each,6,24,,0,
449627,4-907,"7""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,50.99,45.89,32.12,Each,1,12,,0,
449629,4-909,Thread Adpt for Skimming Blade Hndl,LEVEL5,Drywall Semi Auto Tools,Handles,6.49,5.84,4.09,Each,1,1,,0,
449630,4-910,"10""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,58.49,52.64,36.85,Each,1,12,,0,
449631,4-910C,"10""Composite Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,41.99,37.79,26.45,Each,2,12,,0,
449634,4-914,"14""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,73.49,66.14,46.3,Each,1,12,,0,
449635,4-914C,"14""Composite Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,52.49,47.24,33.07,Each,2,12,,0,
449638,4-916,"16""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,82.99,74.69,52.28,Each,1,12,,0,
449639,4-916C,"16""Composite Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,60.49,54.44,38.11,Each,2,12,,0,
449642,4-924,"24""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,107.49,96.74,67.72,Each,1,12,,0,
449643,4-924C,"24""Composite Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,79.49,71.54,50.08,Each,2,12,,0,
449646,4-932,"32""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,140.99,126.89,88.82,Each,1,12,,0,
449647,4-932C,"32"" Composite Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,101.99,91.79,64.25,Each,1,12,,0,
449650,4-940,"40""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,159.49,143.54,100.48,Each,1,6,,0,
449652,4-941,Skimming Blade Adapter,LEVEL5,Drywall Semi Auto Tools,Handles,49.49,44.54,31.18,Each,6,24,,0,
449653,4-941C,C Skimming Blade Adapter,LEVEL5,Drywall Semi Auto Tools,Handles,42.99,38.69,27.08,Each,6,24,,0,
449655,4-942,"37""-63""Skimming Blade Ext Hndl",LEVEL5,Drywall Semi Auto Tools,Handles,63.49,57.14,40,Each,6,24,,0,
449657,4-943,"48""-87""Skimming Blade Ext Hndl ",LEVEL5,Drywall Semi Auto Tools,Handles,67.99,61.19,42.83,Each,6,24,,0,
449660,4-945,"37""-63""Skimming Blade Hcdle w/Adpt",LEVEL5,Drywall Semi Auto Tools,Skimming Blade Sets,112.98,96.03,67.22,Each,1,1,,0,
449661,4-948,"48""Skimming Blade",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,214.99,193.49,135.44,Each,1,6,,0,
449663,4-949,"7""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,17.49,15.74,11.02,Each,1,24,,0,
449664,4-950,"14""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,27.99,25.19,17.63,Each,1,24,,0,
449665,4-950C,"14"" Composite Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,25.99,23.39,16.37,Each,1,24,,0,
449666,4-951,"10""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,22.99,20.69,14.48,Each,1,24,,0,
449667,4-951C,"10"" Composite Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,21.49,19.34,13.54,Each,1,24,,0,
449668,4-952,"16""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,30.49,27.44,19.21,Each,1,24,,0,
449669,4-952C,"16"" Composite Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,27.99,25.19,17.63,Each,1,24,,0,
449670,4-953,"24""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,36.99,33.29,23.3,Each,1,24,,0,
449671,4-953C,"24"" Composite Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,34.49,31.04,21.73,Each,1,24,,0,
449672,4-954,"32""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,49.49,44.54,31.18,Each,1,24,,0,
449673,4-954C,"32"" Composite Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,47.49,42.74,29.92,Each,1,24,,0,
449674,4-955,"40""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,58.49,52.64,36.85,Each,1,24,,0,
449675,4-956,"48""Skimming Blade Insert",LEVEL5,Drywall Semi Auto Tools,Skimming Blades,64.49,58.04,40.63,Each,1,24,,0,
448570,4-959,Skimming Blade End Caps,LEVEL5,Drywall Semi Auto Tools,Parts,14.99,13.49,9.44,Each,1,1,,0,
448571,4-959C,Composite Skimming Blade End Caps,LEVEL5,Drywall Semi Auto Tools,Parts,14.99,13.49,9.44,Each,1,1,,0,
449676,4-960,"11.5""SS Flat Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,52.99,47.69,33.38,Each,1,12,,0,
449678,4-961,"12""SS Flat Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,53.99,48.59,34.01,Each,1,12,,0,
449680,4-962,"14""SS Flat Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,58.49,52.64,36.85,Each,1,12,,0,
449682,4-963,"16""SS Flat Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,62.99,56.69,39.68,Each,1,12,,0,
449684,4-964,"18""SS Flat Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,66.99,60.29,42.2,Each,1,12,,0,
449686,4-965,"12"" SS Flat Flex Trowel 0.4x100mm ",LEVEL5,Drywall Hand Tools,Trowels,61.99,55.79,39.05,Each,1,12,,0,
449687,4-966,"14"" SS Flat Flex Trowel 0.4x100mm ",LEVEL5,Drywall Hand Tools,Trowels,66.99,60.29,42.2,Each,1,12,,0,
449688,4-967,"16"" SS Flat Flex Trowel 0.4x100mm ",LEVEL5,Drywall Hand Tools,Trowels,75.99,68.39,47.87,Each,1,12,,0,
449689,4-971,"12""SS Curved Trowel .7mm ",LEVEL5,Drywall Hand Tools,Trowels,53.99,48.59,34.01,Each,1,12,,0,
449691,4-972,"14""SS Curved Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,58.49,52.64,36.85,Each,1,12,,0,
449693,4-973,"16""SS Curved Trowel .7mm",LEVEL5,Drywall Hand Tools,Trowels,62.99,56.69,39.68,Each,1,12,,0,
449695,4-974,"12"" SS Flat Flex Trowel 0.4x120mm ",LEVEL5,Drywall Hand Tools,Trowels,64.99,58.49,40.94,Each,1,12,,0,
449696,4-975,"14"" SS Flat Flex Trowel 0.4x120mm ",LEVEL5,Drywall Hand Tools,Trowels,70.49,63.44,44.41,Each,1,12,,0,
449697,4-976,"16"" SS Flat Flex Trowel 0.4x120mm ",LEVEL5,Drywall Hand Tools,Trowels,82.49,74.24,51.97,Each,1,12,,0,
449701,4-988,"12""SS Curved Pro Flex Trowel .5mm",LEVEL5,Drywall Hand Tools,Trowels,49.99,44.99,31.49,Each,1,12,,0,
449703,4-989,"14""SS Curved Pro Flex Trowel .5mm",LEVEL5,Drywall Hand Tools,Trowels,53.99,48.59,34.01,Each,1,12,,0,
449706,4-994,"12"" SS Flat UltraFlex Trowel 0.3x100mm",LEVEL5,Drywall Hand Tools,Trowels,56.49,50.84,35.59,Each,1,12,,0,
449707,4-995,"14"" SS Flat UltraFlex Trowel 0.3x100mm",LEVEL5,Drywall Hand Tools,Trowels,60.49,54.44,38.11,Each,1,12,,0,
449708,4-996,"16"" SS Flat UltraFlex Trowel 0.3x100mm",LEVEL5,Drywall Hand Tools,Trowels,66.99,60.29,42.2,Each,1,12,,0,
449709,5-100,"6""Jab Saw-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Jab Saws,16.49,14.84,10.39,Each,6,24,,0,
449714,5-122,"6""BS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,15.49,13.94,9.76,Each,4,24,,0,
449715,5-124,"8""BS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,16.49,14.84,10.39,Each,4,24,,0,
449716,5-126,"10""BS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,17.49,15.74,11.02,Each,4,24,,0,
449717,5-127,"12""BS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,18.49,16.64,11.65,Each,4,24,,0,
449718,5-128,"14""BS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,19.49,17.54,12.28,Each,4,24,,0,
449719,5-134,"8""SS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,18.49,16.64,11.65,Each,4,24,,0,
449720,5-136,"10""SS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,19.49,17.54,12.28,Each,4,24,,0,
449721,5-137,"12""SS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,20.99,18.89,13.22,Each,4,24,,0,
449722,5-138,"14""SS Taping Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,21.99,19.79,13.85,Each,4,24,,0,
449723,5-139,"3""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,14.49,13.04,9.13,Each,4,48,,0,
449724,5-140,"4""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,15.49,13.94,9.76,Each,4,48,,0,
449725,5-141,"5""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,16.49,14.84,10.39,Each,4,48,,0,
449726,5-142,"6""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,17.49,15.74,11.02,Each,4,48,,0,
449727,5-144,"8""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,18.49,16.64,11.65,Each,4,48,,0,
449728,5-146,"10""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,19.49,17.54,12.28,Each,4,48,,0,
449729,5-147,"1""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,11.99,10.79,7.55,Each,4,48,,0,
449730,5-148,"2""SS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,12.99,11.69,8.18,Each,4,48,,0,
449731,5-149,"3""CS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,12.99,11.69,8.18,Each,4,48,,0,
449732,5-150,"4""CS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,14.49,13.04,9.13,Each,4,48,,0,
449733,5-151,"5""CS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,15.49,13.94,9.76,Each,4,48,,0,
449734,5-152,"6""CS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,16.49,14.84,10.39,Each,4,48,,0,
449735,5-154,"8""CS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,17.49,15.74,11.02,Each,4,48,,0,
449736,5-156,"10""CS Joint Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Joint Knives,18.49,16.64,11.65,Each,4,48,,0,
449743,5-180,"8""BS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,16.99,15.29,10.7,Each,6,24,,0,
449744,5-182,"10""BS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,17.99,16.19,11.33,Each,6,24,,0,
449745,5-184,"12""BS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,18.99,17.09,11.96,Each,6,24,,0,
449746,5-186,"14""BS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,19.99,17.99,12.59,Each,6,24,,0,
449747,5-188,"16""BS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,21.49,19.34,13.54,Each,6,24,,0,
449748,5-190,"8""SS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,19.99,17.99,12.59,Each,6,24,,0,
449749,5-192,"10""SS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,21.49,19.34,13.54,Each,6,24,,0,
449750,5-194,"12""SS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,22.49,20.24,14.17,Each,6,24,,0,
449751,5-196,"14""SS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,23.49,21.14,14.8,Each,6,24,,0,
449752,5-198,"16""SS BG BK T-Knife-Sft Grp Hndl",LEVEL5,Drywall Hand Tools,Taping Knives,24.49,22.04,15.43,Each,6,24,,0,
449753,5-200,9-in-1 Tool-Sft Grp Hndl,LEVEL5,Drywall Hand Tools,Specialty Knives,14.49,13.04,9.13,Each,4,48,,0,
449754,5-201,SS Clipped Knife-Sft Grp Hndl,LEVEL5,Drywall Hand Tools,Specialty Knives,14.49,13.04,9.13,Each,4,48,,0,
449755,5-202,SS Pointed Knife -Sft Grp Hndl,LEVEL5,Drywall Hand Tools,Specialty Knives,14.49,13.04,9.13,Each,4,48,,0,
