sku,type,parent_sku,gallery_position,filename,url,mapping_reason
STAPER,variation,COL-AUTOMATIC-TAPER,1,columbia_tools_staper_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_staper_01.webp,wc_export_order_preserved
STAPER,variation,COL-AUTOMATIC-TAPER,2,columbia_tools_staper_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_staper_02.webp,wc_export_order_preserved
STAPER,variation,COL-AUTOMATIC-TAPER,3,columbia_tools_staper_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_staper_03.webp,wc_export_order_preserved
STAPER,variation,COL-AUTOMATIC-TAPER,4,columbia_tools_staper_04.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_staper_04.webp,optimized_append
TAPER,variation,COL-AUTOMATIC-TAPER,1,columbia_tools_taper_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_01.webp,wc_export_order_preserved
TAPER,variation,COL-AUTOMATIC-TAPER,2,columbia_tools_taper_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_02.webp,optimized_append
TAPER,variation,COL-AUTOMATIC-TAPER,3,columbia_tools_taper_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_03.webp,optimized_append
TAPER,variation,COL-AUTOMATIC-TAPER,4,columbia_tools_taper_04.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_04.webp,optimized_append
TAPER,variation,COL-AUTOMATIC-TAPER,5,columbia_tools_taper_05.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_05.webp,optimized_append
PTAPER,simple,,1,columbia_tools_ptaper_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ptaper_01.webp,wc_export_order_preserved
PTAPER,simple,,2,columbia_tools_ptaper_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ptaper_02.webp,wc_export_order_preserved
PTAPER,simple,,3,columbia_tools_ptaper_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ptaper_03.webp,wc_export_order_preserved
PTAPER,simple,,4,columbia_tools_ptaper_04.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ptaper_04.webp,optimized_append
