sku,name,type,brand,product_kind,category_key,display_category_key,finding,workflow,field,current_value
FA316,"10-32 X 1/2"" Flat Socket Head",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA382,"10-32 x 1/4"" SS Set Screw",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA199,"2-56 x 3/16"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA365,"3/16 x 1"" Sping Pin SS",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA206,4-40 Hex Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA207,4-40 Nyloc Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA219,"4-40 x 1/2"" Fillister Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA213,"4-40 x 1/4"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA214,"4-40 x 1/4"" Flat Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA2,"4-40 x 1/8"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA210,"4-40 x 3/16"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA212,"4-40 x 3/16"" Truss Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA220,"4-40 x 3/4"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA218,"4-40 x 3/8"" Flat Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA216,4-40 X 3/8” Fillister Slot,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA215,"4-40 x 5/16"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA303,5-16 Flat Washer,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA307,5-16 x 24 Jam Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA305,"5/16 -18 x 3/4"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA306,"5/16-18 x 1 1/4"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CFB10,"5/16-18 x 3/4"" Thumb Screw",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA317,"5/32"" x 7/8"" Roll Pin",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA232,6-32 Hex Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA234,6-32 Nyloc Jam Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA233,6-32 Nyloc Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA245,"6-32 x 1/2"" Fillister Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA244,"6-32 x 1/2"" Pan Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FFB11,Adjuster Spring,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA239,"6-32 X 1/4"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA227,"6-32 X 1/4"" Flat Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA236,"6-32 X 1/8"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA235,"6-32 X 1/8"" Set Screw",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA237,"6-32 x 3/16"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA238,"6-32 X 3/16"" Fillister Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA241,"6-32 X 3/8"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA243,"6-32 x 3/8"" Flat Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA231,"6-32 x 3/8"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA247,"6-32 X 5/8"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA254,8-32 Nyloc Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA267,"8-32 x 1 1/2"" Pan Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA262,"8-32 x 1/2"" Socket",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA257,"8-32 x 1/4"" Fillister Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA256,"8-32 X 3/16"" Pan Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA265,"8-32 x 3/4"" Truss Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA260,"8-32 x 3/8"" Pan Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA261,"8-32 X 3/8"" Socket Screw",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
